Player,Pos,Squad,Comp,Age,MP,Starts,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Ast_stats_passing,xAG_stats_passing,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,FK_stats_passing_types,Cmp_stats_passing_types,Blocks,PassLive,PassDead,Tkl,TklW,Tkl%,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Tkld,Tkld%,Int_stats_misc,TklW_stats_misc
Yannik Engelhardt,"MF,DF",Como,it Serie A,23.0,26,11,847,de GER,"MF,DF",it Serie A,23.0,2001.0,12.9,1,1.5,54,847,de GER,"MF,DF",it Serie A,23.0,2001.0,12.9,701,24,622,11,20,1,30,12,59.3,13,7,11,41,27,3,20.0,11,12
Martin Erlic,DF,Bologna,it Serie A,26.0,8,5,850,hr CRO,DF,it Serie A,26.0,1998.0,3.7,0,0.0,11,850,hr CRO,DF,it Serie A,26.0,1998.0,3.7,240,6,220,0,2,0,2,0,50.0,5,1,2,4,9,0,0.0,2,0
Patrick Erras,DF,Holstein Kiel,de Bundesliga,29.0,10,10,851,de GER,DF,de Bundesliga,29.0,1995.0,9.2,0,0.1,25,851,de GER,DF,de Bundesliga,29.0,1995.0,9.2,510,12,469,3,8,0,8,5,22.2,13,2,9,17,64,0,,9,5
Alfonso Espino,DF,Rayo Vallecano,es La Liga,32.0,16,9,852,uy URU,DF,es La Liga,32.0,1992.0,9.3,1,0.6,39,852,uy URU,DF,es La Liga,32.0,1992.0,9.3,491,9,365,12,8,4,41,24,55.3,19,13,12,53,32,7,50.0,12,24
Pervis Estupiñán,DF,Brighton,eng Premier League,26.0,30,26,859,ec ECU,DF,eng Premier League,26.0,1998.0,26.7,1,2.1,132,859,ec ECU,DF,eng Premier League,26.0,1998.0,26.7,1610,20,1338,28,39,13,65,43,66.7,20,15,37,102,65,13,38.2,37,43
Jonny Evans,DF,Manchester Utd,eng Premier League,36.0,7,3,864,nir NIR,DF,eng Premier League,36.0,1988.0,3.5,0,0.0,10,864,nir NIR,DF,eng Premier League,36.0,1988.0,3.5,217,5,192,1,2,0,8,6,50.0,3,1,5,13,15,0,0.0,5,6
Alieu Fadera,"FW,DF",Como,it Serie A,22.0,28,20,870,gm GAM,"FW,DF",it Serie A,22.0,2001.0,18.3,3,4.0,36,870,gm GAM,"FW,DF",it Serie A,22.0,2001.0,18.3,591,1,441,28,37,1,64,47,44.4,18,17,12,76,10,34,50.0,12,47
Wout Faes,DF,Leicester City,eng Premier League,26.0,34,30,871,be BEL,DF,eng Premier League,26.0,1998.0,31.3,0,0.1,86,871,be BEL,DF,eng Premier League,26.0,1998.0,31.3,1564,27,1376,7,15,0,42,26,52.1,48,13,26,68,185,1,16.7,26,26
Davide Faraoni,DF,Hellas Verona,it Serie A,32.0,8,3,876,it ITA,DF,it Serie A,32.0,1991.0,2.9,0,0.1,3,876,it ITA,DF,it Serie A,32.0,1991.0,2.9,95,1,65,2,3,0,10,9,33.3,7,4,2,12,12,1,100.0,2,9
Luiz Felipe,DF,Marseille,fr Ligue 1,27.0,4,2,883,it ITA,DF,fr Ligue 1,27.0,1997.0,1.4,0,0.0,4,883,it ITA,DF,fr Ligue 1,27.0,1997.0,1.4,66,1,58,1,0,0,4,3,50.0,3,1,3,7,5,1,50.0,3,3
Kiko Femenía,DF,Villarreal,es La Liga,33.0,28,27,887,es ESP,DF,es La Liga,33.0,1991.0,24.7,1,1.3,112,887,es ESP,DF,es La Liga,33.0,1991.0,24.7,1506,50,1339,14,35,3,50,34,57.9,21,11,40,90,62,6,25.0,40,34
Edimilson Fernandes,"MF,DF",Brest,fr Ligue 1,28.0,19,12,893,ch SUI,"MF,DF",fr Ligue 1,28.0,1996.0,12.3,1,0.6,40,893,ch SUI,"MF,DF",fr Ligue 1,28.0,1996.0,12.3,572,8,486,5,11,1,9,7,53.8,14,8,20,29,38,1,25.0,20,7
Pelayo Fernandez,DF,Rayo Vallecano,es La Liga,21.0,2,1,898,es ESP,DF,es La Liga,21.0,2003.0,1.1,0,0.0,1,898,es ESP,DF,es La Liga,21.0,2003.0,1.1,28,1,24,0,0,0,0,0,,0,0,2,2,9,0,,2,0
Kilian Fischer,DF,Wolfsburg,de Bundesliga,23.0,32,29,906,de GER,DF,de Bundesliga,23.0,2000.0,25.5,0,0.5,110,906,de GER,DF,de Bundesliga,23.0,2000.0,25.5,1241,17,976,27,33,4,64,44,52.8,41,33,19,83,98,13,56.5,19,44
Wesley Fofana,DF,Chelsea,eng Premier League,23.0,14,14,914,fr FRA,DF,eng Premier League,23.0,2000.0,13.0,0,0.4,32,914,fr FRA,DF,eng Premier League,23.0,2000.0,13.0,803,23,724,4,12,1,13,12,42.9,14,5,14,27,55,3,20.0,14,12
Jonas Föhrenbach,DF,Heidenheim,de Bundesliga,28.0,27,22,917,de GER,DF,de Bundesliga,28.0,1996.0,20.4,1,1.3,59,917,de GER,DF,de Bundesliga,28.0,1996.0,20.4,909,8,659,37,30,1,45,24,62.9,29,26,16,61,57,9,52.9,16,24
Héctor Fort,DF,Barcelona,es La Liga,17.0,17,5,925,es ESP,DF,es La Liga,17.0,2006.0,6.5,0,0.9,26,925,es ESP,DF,es La Liga,17.0,2006.0,6.5,497,4,448,12,15,1,13,8,62.5,12,12,6,19,16,7,77.8,6,8
Dimitri Foulquier,DF,Valencia,es La Liga,31.0,32,25,926,fr FRA,DF,es La Liga,31.0,1993.0,25.5,1,1.4,97,926,fr FRA,DF,es La Liga,31.0,1993.0,25.5,1276,44,1007,43,26,4,48,31,66.7,21,16,16,64,86,16,48.5,16,31
Juan Foyth,DF,Villarreal,es La Liga,26.0,19,17,927,ar ARG,DF,es La Liga,26.0,1998.0,16.9,0,0.3,65,927,ar ARG,DF,es La Liga,26.0,1998.0,16.9,963,46,838,8,19,0,25,15,68.8,26,9,19,44,119,4,44.4,19,15
Alejandro Francés,DF,Girona,es La Liga,21.0,18,13,930,es ESP,DF,es La Liga,21.0,2002.0,13.0,0,0.3,63,930,es ESP,DF,es La Liga,21.0,2002.0,13.0,813,20,685,21,15,0,36,24,70.0,17,9,17,53,52,6,42.9,17,24
Przemysław Frankowski,DF,Lens,fr Ligue 1,29.0,18,16,931,pl POL,DF,fr Ligue 1,29.0,1995.0,15.4,2,2.5,117,931,pl POL,DF,fr Ligue 1,29.0,1995.0,15.4,1092,11,875,31,38,6,32,21,63.3,10,8,19,51,28,9,56.3,19,21
Enric Franquesa,"DF,FW",Leganés,es La Liga,27.0,12,7,932,es ESP,"DF,FW",es La Liga,27.0,1997.0,6.8,0,0.1,12,932,es ESP,"DF,FW",es La Liga,27.0,1997.0,6.8,225,0,158,9,4,0,17,9,69.2,7,6,5,22,12,7,33.3,5,9
Ryan Fraser,"FW,DF",Southampton,eng Premier League,30.0,8,4,933,sct SCO,"FW,DF",eng Premier League,30.0,1994.0,3.4,0,0.1,8,933,sct SCO,"FW,DF",eng Premier League,30.0,1994.0,3.4,103,0,77,2,5,0,6,2,66.7,1,0,1,7,9,1,33.3,1,2
Tyler Fredricson,DF,Manchester Utd,eng Premier League,19.0,2,2,935,eng ENG,DF,eng Premier League,19.0,2005.0,1.8,0,0.0,8,935,eng ENG,DF,eng Premier League,19.0,2005.0,1.8,122,3,110,2,3,0,5,3,50.0,2,2,1,6,11,0,0.0,1,3
