,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
425,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24.0,34,34,3060,34.0,100.0,17.0,pl POL,GK,fr Ligue 1,24.0,1999.0,34.0,34.0,3060.0,34.0,41.0,1.21,161.0,120.0,75.8,17.0,9.0,8.0,8.0,23.5,3.0,2.0,1.0,0.0,17.0,pl POL,GK,fr Ligue 1,24.0,1999.0,34.0,41.0,2.0,0.0,4.0,1.0,43.0,0.26,3.0,0.09,112.0,272.0,41.2,948.0,173.0,22.8,28.6,470.0,39.0,8.3,33.0,0.97,12.8
469,Elia Caprile,it ITA,GK,Cagliari,it Serie A,22.0,18,18,1620,18.0,100.0,18.0,it ITA,GK,it Serie A,22.0,2001.0,18.0,18.0,1620.0,18.0,22.0,1.22,66.0,44.0,68.2,5.0,4.0,9.0,5.0,27.8,1.0,1.0,0.0,0.0,18.0,it ITA,GK,it Serie A,22.0,2001.0,18.0,22.0,1.0,0.0,4.0,0.0,23.5,0.35,1.5,0.08,132.0,332.0,39.8,546.0,93.0,44.1,36.8,266.0,18.0,6.8,23.0,1.28,15.6
479,Dani Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27.0,6,6,540,6.0,,20.0,es ESP,GK,es La Liga,27.0,1997.0,6.0,6.0,540.0,6.0,6.0,1.0,20.0,14.0,70.0,3.0,1.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0,20.0,es ESP,GK,es La Liga,27.0,1997.0,6.0,6.0,0.0,0.0,0.0,0.0,5.6,0.29,-0.4,-0.06,26.0,106.0,24.5,132.0,21.0,56.8,44.3,79.0,2.0,2.5,1.0,0.17,10.2
490,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24.0,34,34,3060,34.0,100.0,23.0,it ITA,GK,it Serie A,24.0,2000.0,34.0,34.0,3060.0,34.0,34.0,1.0,129.0,97.0,75.2,19.0,7.0,8.0,13.0,38.2,2.0,2.0,0.0,0.0,23.0,it ITA,GK,it Serie A,24.0,2000.0,34.0,34.0,2.0,0.0,4.0,2.0,36.1,0.28,4.1,0.12,121.0,374.0,32.4,878.0,177.0,28.2,32.3,319.0,21.0,6.6,45.0,1.32,14.5
543,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22.0,34,34,3060,34.0,100.0,24.0,fr FRA,GK,fr Ligue 1,22.0,2001.0,34.0,34.0,3060.0,34.0,36.0,1.06,126.0,91.0,74.6,17.0,9.0,8.0,11.0,32.4,4.0,4.0,0.0,0.0,24.0,fr FRA,GK,fr Ligue 1,22.0,2001.0,34.0,36.0,4.0,0.0,6.0,1.0,42.2,0.32,7.2,0.21,112.0,288.0,38.9,968.0,144.0,25.7,29.6,373.0,21.0,5.6,24.0,0.71,13.9
559,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35.0,27,27,2335,25.9,50.0,26.0,nl NED,GK,es La Liga,35.0,1989.0,27.0,27.0,2335.0,25.9,42.0,1.62,128.0,85.0,70.3,6.0,8.0,13.0,3.0,11.1,8.0,4.0,3.0,1.0,26.0,nl NED,GK,es La Liga,35.0,1989.0,25.9,42.0,4.0,0.0,4.0,2.0,44.3,0.3,4.3,0.16,124.0,409.0,30.3,820.0,142.0,39.5,34.5,413.0,13.0,3.1,20.0,0.77,14.5
590,Diego Conde,es ESP,GK,Villarreal,es La Liga,25.0,22,22,1962,21.8,100.0,28.0,es ESP,GK,es La Liga,25.0,1998.0,22.0,22.0,1962.0,21.8,33.0,1.51,94.0,62.0,68.1,11.0,6.0,5.0,2.0,9.1,4.0,3.0,0.0,1.0,28.0,es ESP,GK,es La Liga,25.0,1998.0,21.8,33.0,3.0,1.0,6.0,1.0,26.3,0.26,-5.7,-0.26,61.0,161.0,37.9,532.0,111.0,22.7,28.2,323.0,18.0,5.6,16.0,0.73,11.9
623,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32.0,30,30,2700,30.0,100.0,30.0,be BEL,GK,es La Liga,32.0,1992.0,30.0,30.0,2700.0,30.0,29.0,0.97,104.0,76.0,75.0,20.0,6.0,4.0,11.0,36.7,3.0,3.0,0.0,0.0,30.0,be BEL,GK,es La Liga,32.0,1992.0,30.0,29.0,3.0,0.0,6.0,1.0,28.7,0.27,0.7,0.02,62.0,214.0,29.0,871.0,173.0,18.5,28.2,350.0,16.0,4.6,14.0,0.47,10.7
644,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26.0,19,19,1710,19.0,100.0,31.0,de GER,GK,de Bundesliga,26.0,1998.0,19.0,19.0,1710.0,19.0,19.0,1.0,82.0,65.0,79.3,7.0,6.0,6.0,9.0,47.4,2.0,2.0,0.0,0.0,31.0,de GER,GK,de Bundesliga,26.0,1998.0,19.0,19.0,2.0,0.0,3.0,2.0,24.2,0.29,7.2,0.38,129.0,341.0,37.8,614.0,51.0,38.6,34.9,337.0,9.0,2.7,26.0,1.37,14.7
645,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30.0,9,9,810,9.0,100.0,32.0,de GER,GK,de Bundesliga,30.0,1994.0,9.0,9.0,810.0,9.0,19.0,2.11,55.0,36.0,69.1,2.0,2.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,32.0,de GER,GK,de Bundesliga,30.0,1994.0,9.0,19.0,2.0,1.0,1.0,1.0,18.5,0.3,0.5,0.06,47.0,133.0,35.3,304.0,55.0,25.7,30.3,177.0,15.0,8.5,5.0,0.56,9.3
