Rk,Player,Nation,Squad,Age,Pos,Min,90s,Gls,G-PK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Ast,xAG,G+A,G+A-PK,xG+xAG,KP,PPA,CrsPA,PrgP,PrgC,PrgR,SCA,GCA,Carries,Att Pen,CPA,Rec
2431,Danel Sinani,lu LUX,St. Pauli,27.0,"FW,MF",1250,13.9,2,2,0,0,1.7,1.7,0.05,0.3,35,12,34.3,2.52,0.86,0.06,0.17,21.5,2,3.0,4,0.29,0.33,24,16,3,60,16,64,60,4,297,30,6,433
2432,Lassine Sinayoko,ml MLI,Auxerre,24.0,"FW,MF",2299,25.5,5,4,1,1,6.5,5.7,0.1,-1.5,60,16,26.7,2.35,0.63,0.07,0.25,16.1,8,5.5,13,0.47,0.47,37,17,3,62,53,193,96,20,576,127,28,690
2434,Luis Sinisterra,co COL,Bournemouth,25.0,"FW,MF",236,2.6,1,1,0,0,1.2,1.2,0.09,-0.2,13,6,46.2,4.96,2.29,0.08,0.17,14.8,1,1.4,2,0.76,1.0,9,2,2,6,19,38,14,1,95,23,10,102
2438,Ayanda Sishuba,be BEL,Rennes,19.0,FW,3,0.0,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1
2439,Ibrahim Sissoko,ml MLI,Saint-Étienne,28.0,FW,819,9.1,3,2,1,1,4.3,3.5,0.17,-1.3,21,4,19.0,2.31,0.44,0.1,0.5,14.6,1,0.6,4,0.33,0.54,7,1,0,12,14,36,21,1,149,37,6,206
2441,Niama Sissoko,ml MLI,Reims,18.0,"FW,MF",47,0.5,0,0,0,0,0.3,0.3,0.09,-0.3,3,0,0.0,5.74,0.0,0.0,,12.1,0,0.0,0,0.0,0.54,0,1,0,1,1,2,1,0,14,6,0,15
2443,Tim Skarke,de GER,Union Berlin,27.0,"FW,MF",1164,12.9,0,0,0,0,2.1,2.1,0.1,-2.1,20,9,45.0,1.55,0.7,0.0,0.0,18.5,2,1.2,2,0.15,0.25,16,15,9,25,26,96,34,4,293,31,10,336
2449,Andreas Skov Olsen,dk DEN,Wolfsburg,24.0,"FW,MF",535,5.9,1,1,0,0,0.8,0.8,0.12,0.2,7,1,14.3,1.18,0.17,0.14,1.0,14.2,1,1.9,2,0.34,0.46,18,10,2,22,22,48,32,1,188,27,7,226
2452,Steven Skrzybski,de GER,Holstein Kiel,31.0,"MF,FW",1323,14.7,6,5,1,1,3.5,2.7,0.09,2.5,32,12,37.5,2.18,0.82,0.16,0.42,20.2,3,2.9,9,0.54,0.44,22,16,7,64,17,71,51,5,313,45,6,398
2453,Naatan Skyttä,fi FIN,Toulouse,22.0,FW,5,0.1,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,3
2462,Alex Sola,es ESP,Getafe,25.0,"MF,FW",1029,11.4,0,0,0,0,1.0,1.0,0.06,-1.0,15,2,13.3,1.31,0.17,0.0,0.0,18.6,1,0.7,1,0.09,0.14,9,2,1,23,24,61,26,2,265,35,10,302
2464,Dominic Solanke,eng ENG,Tottenham,26.0,FW,2201,24.5,9,8,1,1,10.9,10.1,0.17,-1.9,59,24,40.7,2.41,0.98,0.14,0.33,12.4,3,2.9,12,0.45,0.57,14,9,0,47,31,88,37,8,385,112,14,459
2465,Ola Solbakken,no NOR,Empoli,25.0,"MF,FW",760,8.4,0,0,0,0,0.8,0.8,0.2,-0.8,4,3,75.0,0.47,0.36,0.0,0.0,12.7,0,0.4,0,0.0,0.14,9,5,1,20,18,32,12,1,150,15,6,194
2466,Carlos Soler,es ESP,West Ham,27.0,"MF,FW",1409,15.7,1,1,0,0,1.8,1.8,0.07,-0.8,25,8,32.0,1.6,0.51,0.04,0.13,19.0,1,1.4,2,0.13,0.21,18,13,0,56,17,37,51,2,367,26,4,539
2467,Julio Soler,ar ARG,Bournemouth,19.0,"DF,FW",11,0.1,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0,0,12,0,0,14
2475,Ramón Sosa,py PAR,Nott'ham Forest,24.0,"FW,MF",295,3.3,1,1,0,0,1.0,1.0,0.09,0.0,11,5,45.5,3.36,1.53,0.09,0.2,18.6,0,0.5,1,0.31,0.45,8,5,3,6,12,17,14,0,75,15,5,81
2477,Florian Sotoca,fr FRA,Lens,33.0,"FW,MF",1794,19.9,1,1,0,0,4.6,4.6,0.1,-3.6,47,18,38.3,2.36,0.9,0.02,0.06,14.7,1,1.5,2,0.1,0.31,18,29,9,105,44,170,53,3,679,89,7,932
2478,Riccardo Sottil,it ITA,Fiorentina,25.0,"FW,MF",833,9.3,1,1,0,0,0.9,0.9,0.04,0.1,22,6,27.3,2.38,0.65,0.05,0.17,19.7,1,0.9,2,0.22,0.19,12,12,4,18,71,100,35,4,272,41,27,285
2479,Riccardo Sottil,it ITA,Milan,25.0,"FW,MF",123,1.4,0,0,0,0,0.2,0.2,0.09,-0.2,2,0,0.0,1.46,0.0,0.0,,10.5,0,0.3,0,0.0,0.36,3,3,2,3,11,14,5,0,47,6,3,45
2483,Issa Soumaré,sn SEN,Le Havre,23.0,"FW,MF",1902,21.1,5,5,0,0,3.8,3.8,0.09,1.2,43,19,44.2,2.03,0.9,0.12,0.26,16.5,4,3.1,9,0.43,0.33,28,16,4,45,61,144,52,9,495,87,13,596
2488,Leonardo Spinazzola,it ITA,Napoli,31.0,"DF,FW",1517,16.9,1,1,0,0,0.8,0.8,0.07,0.2,12,4,33.3,0.71,0.24,0.08,0.25,17.1,1,3.5,2,0.12,0.25,26,34,8,88,83,81,47,3,603,38,24,679
2497,Lucas Stassin,be BEL,Saint-Étienne,19.0,FW,1887,21.0,12,12,0,0,7.0,7.0,0.18,3.0,44,23,52.3,2.1,1.1,0.27,0.52,14.1,4,3.4,16,0.76,0.53,18,12,1,35,26,149,34,8,326,85,13,455
2499,Orri Steinn Óskarsson,is ISL,Real Sociedad,19.0,FW,944,10.5,3,3,0,0,5.2,5.2,0.27,-2.2,19,7,36.8,1.81,0.67,0.16,0.43,13.1,0,0.2,3,0.29,0.52,5,3,1,9,6,50,10,0,122,37,5,207
2503,Raheem Sterling,eng ENG,Arsenal,29.0,"FW,MF",499,5.5,0,0,0,0,1.4,1.4,0.13,-1.4,11,0,0.0,1.98,0.0,0.0,,15.1,2,0.5,2,0.36,0.34,8,9,2,18,27,79,19,3,201,38,15,211
2504,Enzo Sternal,fr FRA,Marseille,17.0,"FW,MF",24,0.3,0,0,0,0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,,0,0.0,0,0.0,0.09,1,0,0,0,0,0,1,0,10,0,0,12
2506,Ross Stewart,sct SCO,Southampton,28.0,FW,389,4.3,1,1,0,0,1.1,1.1,0.12,-0.1,9,2,22.2,2.08,0.46,0.11,0.5,10.8,0,0.0,1,0.23,0.25,0,1,0,2,3,10,5,0,64,15,4,100
2509,Stoichkov,es ESP,Alavés,30.0,"MF,FW",699,7.8,0,0,0,0,1.1,1.1,0.06,-1.1,18,3,16.7,2.32,0.39,0.0,0.0,19.8,1,1.2,1,0.13,0.3,7,10,1,26,9,41,28,2,179,28,3,194
2513,Jørgen Strand Larsen,no NOR,Wolves,24.0,FW,2587,28.7,14,14,0,0,10.3,10.3,0.19,3.7,54,33,61.1,1.88,1.15,0.26,0.42,11.3,4,3.0,18,0.63,0.46,21,4,1,29,17,112,42,6,345,108,9,534
2514,Gabriel Strefezza,br BRA,Como,27.0,"FW,MF",2619,29.1,6,6,0,0,3.7,3.7,0.06,2.3,58,21,36.2,1.99,0.72,0.1,0.29,20.5,4,3.9,10,0.34,0.26,57,29,9,106,80,190,111,4,1033,93,33,1110
2515,Cristhian Stuani,uy URU,Girona,37.0,FW,1078,12.0,11,8,3,3,8.1,5.8,0.19,2.9,31,16,51.6,2.59,1.34,0.26,0.5,12.7,2,0.6,13,0.83,0.73,6,3,0,10,2,36,14,3,96,55,2,156
2523,Kamaldeen Sulemana,gh GHA,Southampton,22.0,"FW,MF",1402,15.6,1,1,0,0,1.5,1.5,0.05,-0.5,29,8,27.6,1.86,0.51,0.03,0.13,18.6,1,1.0,2,0.13,0.16,10,13,7,27,63,87,30,3,380,59,28,410
2524,Crysencio Summerville,nl NED,West Ham,22.0,"FW,MF",786,8.7,1,1,0,0,1.6,1.6,0.12,-0.6,14,4,28.6,1.6,0.46,0.07,0.25,13.4,1,1.7,2,0.23,0.38,17,12,5,18,29,71,35,1,207,38,13,259
2525,Tomáš Suslov,sk SVK,Hellas Verona,22.0,"MF,FW",2080,23.1,0,0,0,0,1.6,1.6,0.05,-1.6,32,7,21.9,1.38,0.3,0.0,0.0,21.6,1,1.9,1,0.04,0.15,27,22,2,82,39,77,74,4,462,28,10,466
2526,Suso,es ESP,Sevilla,30.0,"FW,MF",606,6.7,0,0,0,0,0.7,0.7,0.05,-0.7,16,4,25.0,2.38,0.59,0.0,0.0,22.9,2,1.6,2,0.3,0.35,22,13,4,43,20,74,45,3,280,15,2,334
2529,Daniel Svensson,se SWE,Dortmund,22.0,"DF,FW",781,8.7,1,1,0,0,0.8,0.8,0.13,0.2,6,2,33.3,0.69,0.23,0.17,0.5,13.1,3,1.2,4,0.46,0.22,10,11,4,41,11,51,20,3,303,25,5,358
2533,Williot Swedberg,se SWE,Celta Vigo,20.0,"FW,MF",1348,15.0,4,4,0,0,5.2,5.2,0.17,-1.2,32,15,46.9,2.14,1.0,0.13,0.27,14.7,5,2.6,9,0.6,0.52,16,12,1,28,34,116,36,8,351,72,18,412
2536,Mamadou Sylla,sn SEN,Valladolid,30.0,"FW,MF",1583,17.6,5,1,4,4,5.1,2.0,0.11,-0.1,18,3,16.7,1.02,0.17,0.06,0.33,17.4,1,1.7,6,0.11,0.39,14,5,0,22,15,52,22,5,188,37,6,284
2538,Sammie Szmodics,ie IRL,Ipswich Town,28.0,"FW,MF",992,11.0,4,4,0,0,3.4,3.4,0.16,0.6,21,12,57.1,1.91,1.09,0.19,0.33,14.0,0,0.2,4,0.36,0.33,5,4,1,19,16,47,10,0,179,33,7,193
2540,Alexander Sørloth,no NOR,Atlético Madrid,28.0,FW,1566,17.4,20,19,1,1,16.8,16.0,0.21,3.2,78,40,51.3,4.48,2.3,0.24,0.48,12.0,2,1.6,22,1.21,1.06,13,10,1,31,32,81,30,5,323,116,15,454
2541,Musa Al-Taamari,jo JOR,Montpellier,27.0,"FW,MF",1116,12.4,2,2,0,0,2.6,2.6,0.09,-0.6,27,11,40.7,2.18,0.89,0.07,0.18,17.7,1,1.5,3,0.24,0.33,12,12,1,30,55,76,35,5,316,55,25,342
2542,Musa Al-Taamari,jo JOR,Rennes,27.0,"FW,MF",567,6.3,1,1,0,0,2.4,2.4,0.17,-1.4,14,3,21.4,2.22,0.48,0.07,0.33,14.4,0,1.3,1,0.16,0.6,10,3,0,8,21,39,22,1,114,41,9,147
2543,Haris Tabakovic,ba BIH,Hoffenheim,30.0,FW,821,9.1,3,3,0,0,3.3,3.3,0.11,-0.3,30,10,33.3,3.29,1.1,0.1,0.3,11.2,1,1.2,4,0.44,0.5,9,2,1,7,4,45,16,3,165,50,3,240
2551,Mehdi Taremi,ir IRN,Inter,32.0,FW,807,9.0,1,0,1,1,3.5,2.7,0.21,-2.5,13,5,38.5,1.45,0.56,0.0,0.0,12.0,2,1.6,3,0.22,0.56,15,5,0,25,10,47,33,4,186,45,6,230
2557,Marcus Tavernier,eng ENG,Bournemouth,25.0,"FW,MF",1939,21.5,3,3,0,0,5.5,5.5,0.1,-2.5,57,17,29.8,2.65,0.79,0.05,0.18,21.1,5,4.0,8,0.37,0.44,43,40,14,128,53,129,98,11,705,58,9,790
2560,Loum Tchaouna,fr FRA,Lazio,20.0,"FW,MF",660,7.3,1,1,0,0,2.5,2.5,0.11,-1.5,23,8,34.8,3.14,1.09,0.04,0.13,17.8,0,0.6,1,0.14,0.42,10,8,1,20,22,66,25,6,188,33,8,246
2566,Mathys Tel,fr FRA,Tottenham,19.0,FW,911,10.1,2,1,1,1,3.0,2.2,0.1,-1.0,22,8,36.4,2.17,0.79,0.05,0.13,16.0,1,2.6,3,0.2,0.55,14,14,4,21,28,72,28,2,266,40,11,279
2567,Mathys Tel,fr FRA,Bayern Munich,19.0,"FW,MF",256,2.8,0,0,0,0,0.7,0.7,0.07,-0.7,10,3,30.0,3.52,1.05,0.0,0.0,18.1,1,0.3,1,0.35,0.36,1,4,1,9,6,34,4,2,109,14,3,135
2568,Nathan Tella,ng NGA,Leverkusen,25.0,"MF,FW",1359,15.1,2,2,0,0,3.1,3.1,0.11,-1.1,28,10,35.7,1.85,0.66,0.07,0.2,15.5,4,1.5,6,0.4,0.31,18,10,2,22,38,130,32,7,308,67,17,389
2571,Casper Tengstedt,dk DEN,Hellas Verona,24.0,FW,1517,16.9,6,5,1,1,5.3,4.5,0.12,0.7,37,10,27.0,2.2,0.59,0.14,0.5,14.2,1,0.9,7,0.36,0.37,12,8,1,29,29,85,24,3,238,58,13,303
2575,Ramón Terrats,es ESP,Villarreal,23.0,"MF,FW",131,1.5,0,0,0,0,0.1,0.1,0.03,-0.1,2,0,0.0,1.37,0.0,0.0,,21.2,0,0.3,0,0.0,0.22,1,2,1,7,1,3,4,0,64,2,0,75
