Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Georges Mikautadze,ge GEO,FW,STRIKER,Lyon,fr Ligue 1,23.0,34,13,1449,16.1,6,4.3,21,54,4,9,14,17,37,59,140,3.05,0.75,11,10.3,52,22,0.15,0.36,0.373,0.267,1.304,3.354,0.248,0.559,0.87,1.056,3.665,8.696,2.298,0.683,0.64,3.23,1.366
Pere Milla,es ESP,"MF,FW",STRIKER,Espanyol,es La Liga,31.0,20,1,456,5.1,0,0.3,5,13,5,14,5,2,9,7,27,2.57,0.2,3,1.5,11,5,0.27,0.6,0.0,0.059,0.98,2.549,0.98,2.745,0.98,0.392,1.373,5.294,1.765,0.588,0.294,2.157,0.98
Enzo Millot,fr FRA,"MF,FW",WINGER,Stuttgart,de Bundesliga,22.0,29,22,1843,20.5,5,3.1,23,118,5,41,30,31,44,67,123,3.22,0.49,6,7.6,43,17,0.14,0.35,0.244,0.151,1.122,5.756,0.244,2.0,1.463,1.512,3.268,6.0,2.146,0.293,0.371,2.098,0.829
Takumi Minamino,jp JPN,"MF,FW",STRIKER,Monaco,fr Ligue 1,29.0,31,27,2231,24.8,3,6.6,40,114,15,23,33,12,51,40,193,3.23,0.28,6,8.9,57,20,0.11,0.3,0.121,0.266,1.613,4.597,0.605,0.927,1.331,0.484,1.613,7.782,2.056,0.242,0.359,2.298,0.806
Yankuba Minteh,gm GAM,"FW,MF",WINGER,Brighton,eng Premier League,20.0,32,20,1838,20.4,4,5.0,29,48,4,91,36,46,90,98,201,3.14,0.64,6,4.1,34,16,0.18,0.38,0.196,0.245,1.422,2.353,0.196,4.461,1.765,2.255,4.804,9.853,4.412,0.294,0.201,1.667,0.784
Bojan Miovski,mk MKD,FW,STRIKER,Girona,es La Liga,25.0,17,12,869,9.7,1,0.2,4,4,0,3,1,3,4,7,33,1.03,0.41,2,2.7,14,4,0.14,0.5,0.103,0.021,0.412,0.412,0.0,0.309,0.103,0.309,0.722,3.402,0.412,0.206,0.278,1.443,0.412
Rafa Mir,es ESP,"FW,MF",STRIKER,Valencia,es La Liga,27.0,20,5,753,8.4,2,0.7,4,20,0,7,4,2,10,14,28,1.31,0.48,1,3.0,27,7,0.04,0.14,0.238,0.083,0.476,2.381,0.0,0.833,0.476,0.238,1.667,3.333,1.19,0.119,0.357,3.214,0.833
Fabio Miretti,it ITA,"MF,FW",WINGER,Genoa,it Serie A,20.0,25,22,1677,18.6,3,2.0,22,54,5,61,13,25,33,73,100,2.84,0.32,3,3.1,24,6,0.13,0.5,0.161,0.108,1.183,2.903,0.269,3.28,0.699,1.344,3.925,5.376,1.774,0.161,0.167,1.29,0.323
Kaoru Mitoma,jp JPN,"FW,MF",WINGER,Brighton,eng Premier League,27.0,36,28,2603,28.9,4,4.6,37,89,9,75,36,52,146,131,291,3.01,0.35,10,9.2,57,27,0.18,0.37,0.138,0.159,1.28,3.08,0.311,2.595,1.246,1.799,4.533,10.069,5.052,0.346,0.318,1.972,0.934
Koji Miyoshi,jp JPN,"FW,MF",WINGER/STRIKER,Bochum,de Bundesliga,27.0,15,6,464,5.2,0,0.8,5,15,4,9,4,5,11,14,23,1.75,0.0,1,1.1,12,5,0.08,0.2,0.0,0.154,0.962,2.885,0.769,1.731,0.769,0.962,2.692,4.423,2.115,0.192,0.212,2.308,0.962
Max Moerstedt,de GER,FW,WINGER/STRIKER,Hoffenheim,de Bundesliga,,12,5,451,5.0,0,0.6,7,10,1,1,2,1,6,4,36,3.18,0.0,0,0.8,12,4,0.0,0.0,0.0,0.12,1.4,2.0,0.2,0.2,0.4,0.2,0.8,7.2,1.2,0.0,0.16,2.4,0.8
Mostafa Mohamed,eg EGY,FW,STRIKER,Nantes,fr Ligue 1,26.0,30,11,1252,13.9,0,0.4,6,20,2,4,6,12,11,26,50,1.22,0.14,5,5.5,43,16,0.12,0.31,0.0,0.029,0.432,1.439,0.144,0.288,0.432,0.863,1.871,3.597,0.791,0.36,0.396,3.094,1.151
Alberto Moleiro,es ESP,"FW,MF",WINGER,Las Palmas,es La Liga,20.0,35,32,2714,30.2,1,3.3,41,116,9,32,29,64,97,150,179,3.52,0.2,6,5.6,68,24,0.09,0.25,0.033,0.109,1.358,3.841,0.298,1.06,0.96,2.119,4.967,5.927,3.212,0.199,0.185,2.252,0.795
Álvaro Morata,es ESP,"FW,MF",STRIKER,Milan,it Serie A,31.0,16,13,1099,12.2,0,0.8,7,26,3,13,3,6,18,17,63,1.72,0.25,5,3.9,27,10,0.19,0.5,0.0,0.066,0.574,2.131,0.246,1.066,0.246,0.492,1.393,5.164,1.475,0.41,0.32,2.213,0.82
Gerard Moreno,es ESP,FW,WINGER,Villarreal,es La Liga,32.0,17,6,721,8.0,2,3.6,17,53,2,10,15,18,19,31,60,4.87,0.5,3,4.2,23,9,0.0,0.0,0.25,0.45,2.125,6.625,0.25,1.25,1.875,2.25,3.875,7.5,2.375,0.375,0.525,2.875,1.125
Tete Morente,es ESP,"FW,MF",WINGER/STRIKER,Lecce,it Serie A,27.0,31,23,2021,22.5,2,1.6,25,102,3,56,23,30,48,55,144,2.72,0.18,3,2.9,41,13,0.07,0.23,0.089,0.071,1.111,4.533,0.133,2.489,1.022,1.333,2.444,6.4,2.133,0.133,0.129,1.822,0.578
Raúl Moro,es ESP,"MF,FW",WINGER,Valladolid,es La Liga,21.0,33,26,2341,26.0,5,5.7,44,81,7,149,38,57,112,132,190,3.61,0.35,4,4.1,46,16,0.09,0.25,0.192,0.219,1.692,3.115,0.269,5.731,1.462,2.192,5.077,7.308,4.308,0.154,0.158,1.769,0.615
Daniel Mosquera,co COL,FW,STRIKER,Hellas Verona,it Serie A,24.0,35,12,1375,15.3,1,1.3,12,25,1,2,4,16,17,25,83,2.82,0.2,5,6.6,57,15,0.09,0.33,0.065,0.085,0.784,1.634,0.065,0.131,0.261,1.046,1.634,5.425,1.111,0.327,0.431,3.725,0.98
Dany Mota,pt POR,"FW,MF",WINGER/STRIKER,Monza,it Serie A,26.0,31,24,2104,23.4,2,1.8,22,47,4,38,19,13,53,39,139,2.35,0.13,5,5.1,42,11,0.12,0.45,0.085,0.077,0.94,2.009,0.171,1.624,0.812,0.556,1.667,5.94,2.265,0.214,0.218,1.795,0.47
Thomas Müller,de GER,"MF,FW",STRIKER,Bayern Munich,de Bundesliga,34.0,30,12,1225,13.6,4,2.9,35,50,8,46,24,8,24,17,143,5.36,0.66,1,3.8,30,11,0.03,0.09,0.294,0.213,2.574,3.676,0.588,3.382,1.765,0.588,1.25,10.515,1.765,0.074,0.279,2.206,0.809
Marshall Munetsi,zw ZIM,"MF,FW",WINGER/STRIKER,Wolves,eng Premier League,28.0,14,12,1078,12.0,1,1.8,9,10,1,10,3,3,9,11,35,1.75,0.08,2,3.3,22,7,0.09,0.29,0.083,0.15,0.75,0.833,0.083,0.833,0.25,0.25,0.917,2.917,0.75,0.167,0.275,1.833,0.583
Rodrigo Muniz,br BRA,FW,STRIKER,Fulham,eng Premier League,23.0,31,8,964,10.7,1,0.7,7,27,3,1,3,6,6,18,31,1.59,0.19,8,5.8,39,19,0.21,0.42,0.093,0.065,0.654,2.523,0.28,0.093,0.28,0.561,1.682,2.897,0.561,0.748,0.542,3.645,1.776
Vedat Muriqi,xk KVX,FW,STRIKER,Mallorca,es La Liga,30.0,29,24,2058,22.9,2,2.2,26,30,3,10,6,9,23,26,103,1.97,0.26,7,9.7,52,16,0.1,0.31,0.087,0.096,1.135,1.31,0.131,0.437,0.262,0.393,1.135,4.498,1.004,0.306,0.424,2.271,0.699
Jacob Murphy,eng ENG,FW,WINGER,Newcastle Utd,eng Premier League,29.0,35,31,2360,26.2,12,8.9,42,83,5,120,41,35,79,69,231,3.13,0.57,8,5.7,43,15,0.19,0.53,0.458,0.34,1.603,3.168,0.191,4.58,1.565,1.336,2.634,8.817,3.015,0.305,0.218,1.641,0.573
Yunus Musah,us USA,"MF,FW",WINGER/STRIKER,Milan,it Serie A,21.0,29,19,1571,17.5,2,1.8,23,84,3,24,17,21,51,37,74,2.58,0.23,0,1.9,22,5,0.0,0.0,0.114,0.103,1.314,4.8,0.171,1.371,0.971,1.2,2.114,4.229,2.914,0.0,0.109,1.257,0.286
Nathan N'Goumou,cm CMR,FW,STRIKER,Gladbach,de Bundesliga,24.0,19,9,828,9.2,1,1.3,6,16,1,22,9,9,30,27,85,2.39,0.54,2,1.9,24,13,0.08,0.15,0.109,0.141,0.652,1.739,0.109,2.391,0.978,0.978,2.935,9.239,3.261,0.217,0.207,2.609,1.413
Keito Nakamura,jp JPN,"FW,MF",STRIKER,Reims,fr Ligue 1,24.0,32,31,2649,29.4,2,2.9,26,82,3,56,24,30,90,78,197,2.31,0.24,11,9.1,84,32,0.13,0.34,0.068,0.099,0.884,2.789,0.102,1.905,0.816,1.02,2.653,6.701,3.061,0.374,0.31,2.857,1.088
Sebastian Nanasi,se SWE,"MF,FW",WINGER,Strasbourg,fr Ligue 1,22.0,31,26,2107,23.4,4,4.9,37,126,10,66,39,19,53,40,127,3.63,0.73,6,6.5,28,12,0.21,0.5,0.171,0.209,1.581,5.385,0.427,2.821,1.667,0.812,1.709,5.427,2.265,0.256,0.278,1.197,0.513
Roberto Navarro,es ESP,"MF,FW",WINGER,Mallorca,es La Liga,22.0,23,15,1278,14.2,0,1.9,13,51,5,29,14,35,45,67,85,3.1,0.14,1,2.0,18,6,0.06,0.17,0.0,0.134,0.915,3.592,0.352,2.042,0.986,2.465,4.718,5.986,3.169,0.07,0.141,1.268,0.423
Iliman Ndiaye,sn SEN,FW,WINGER,Everton,eng Premier League,24.0,33,29,2430,27.0,0,1.9,18,59,2,38,14,68,86,143,122,2.41,0.3,9,6.2,35,15,0.2,0.47,0.0,0.07,0.667,2.185,0.074,1.407,0.519,2.519,5.296,4.519,3.185,0.333,0.23,1.296,0.556
Dan Ndoye,ch SUI,FW,WINGER,Bologna,it Serie A,23.0,30,26,2143,23.8,4,3.8,27,74,6,44,26,37,132,96,231,3.7,0.38,8,7.0,50,17,0.12,0.35,0.168,0.16,1.134,3.109,0.252,1.849,1.092,1.555,4.034,9.706,5.546,0.336,0.294,2.101,0.714
Loïc Nego,hu HUN,"DF,FW",WINGER/STRIKER,Le Havre,fr Ligue 1,33.0,31,28,2459,27.3,0,0.7,13,102,1,75,30,17,64,32,123,1.61,0.15,0,0.8,11,2,0.0,0.0,0.0,0.026,0.476,3.736,0.037,2.747,1.099,0.623,1.172,4.505,2.344,0.0,0.029,0.403,0.073
Reiss Nelson,eng ENG,FW,WINGER,Fulham,eng Premier League,24.0,11,5,487,5.4,1,1.0,13,35,2,23,15,13,45,35,63,5.73,0.18,1,1.1,12,6,0.08,0.17,0.185,0.185,2.407,6.481,0.37,4.259,2.778,2.407,6.481,11.667,8.333,0.185,0.204,2.222,1.111
David Neres,br BRA,FW,WINGER,Napoli,it Serie A,27.0,28,13,1283,14.3,4,3.5,26,32,3,92,21,33,73,75,143,4.14,0.63,2,2.7,29,7,0.07,0.29,0.28,0.245,1.818,2.238,0.21,6.434,1.469,2.308,5.245,10.0,5.105,0.14,0.189,2.028,0.49
Pedro Neto,pt POR,FW,WINGER,Chelsea,eng Premier League,24.0,35,24,2269,25.2,6,6.7,46,60,0,149,37,34,126,104,253,3.57,0.36,4,3.5,59,17,0.07,0.24,0.238,0.266,1.825,2.381,0.0,5.913,1.468,1.349,4.127,10.04,5.0,0.159,0.139,2.341,0.675
Ibrahima Niane,sn SEN,FW,STRIKER,Angers,fr Ligue 1,25.0,24,8,943,10.5,1,1.0,9,9,1,2,2,6,19,19,50,2.0,0.38,3,5.7,29,10,0.07,0.2,0.095,0.095,0.857,0.857,0.095,0.19,0.19,0.571,1.81,4.762,1.81,0.286,0.543,2.762,0.952
Justin Njinmah,de GER,"FW,MF",STRIKER,Werder Bremen,de Bundesliga,23.0,26,10,952,10.6,2,1.6,12,23,1,19,10,11,33,27,103,3.69,0.38,3,3.7,31,8,0.1,0.38,0.189,0.151,1.132,2.17,0.094,1.792,0.943,1.038,2.547,9.717,3.113,0.283,0.349,2.925,0.755
Eddie Nketiah,eng ENG,"FW,MF",STRIKER,Crystal Palace,eng Premier League,25.0,29,9,1034,11.5,1,1.7,13,19,2,5,5,11,41,31,79,2.69,0.26,3,5.8,43,16,0.07,0.19,0.087,0.148,1.13,1.652,0.174,0.435,0.435,0.957,2.696,6.87,3.565,0.261,0.504,3.739,1.391
Christopher Nkunku,fr FRA,FW,STRIKER,Chelsea,eng Premier League,26.0,27,9,921,10.2,2,2.1,14,25,2,4,7,10,17,27,68,3.32,0.39,3,4.8,25,11,0.12,0.27,0.196,0.206,1.373,2.451,0.196,0.392,0.686,0.98,2.647,6.667,1.667,0.294,0.471,2.451,1.078
Lukas Nmecha,de GER,"FW,MF",STRIKER,Wolfsburg,de Bundesliga,25.0,19,3,467,5.2,0,0.3,3,6,2,6,5,4,8,8,32,1.54,0.19,3,4.5,20,9,0.15,0.33,0.0,0.058,0.577,1.154,0.385,1.154,0.962,0.769,1.538,6.154,1.538,0.577,0.865,3.846,1.731
Arnaud Nordin,fr FRA,FW,WINGER,Montpellier,fr Ligue 1,26.0,16,14,1166,13.0,1,0.9,15,23,3,35,12,23,51,51,111,2.32,0.23,4,4.1,26,11,0.12,0.27,0.077,0.069,1.154,1.769,0.231,2.692,0.923,1.769,3.923,8.538,3.923,0.308,0.315,2.0,0.846
Brooke Norton-Cuffy,eng ENG,"DF,FW",WINGER/STRIKER,Genoa,it Serie A,20.0,14,8,719,8.0,0,0.2,2,18,0,12,2,7,12,20,21,1.63,0.38,0,0.3,5,2,0.0,0.0,0.0,0.025,0.25,2.25,0.0,1.5,0.25,0.875,2.5,2.625,1.5,0.0,0.038,0.625,0.25
Tijjani Noslin,nl NED,"FW,MF",STRIKER,Lazio,it Serie A,25.0,30,8,861,9.6,2,1.6,12,16,3,15,11,8,13,19,56,2.82,0.42,2,2.0,19,6,0.11,0.33,0.208,0.167,1.25,1.667,0.312,1.562,1.146,0.833,1.979,5.833,1.354,0.208,0.208,1.979,0.625
Randy Nteka,ao ANG,FW,WINGER/STRIKER,Rayo Vallecano,es La Liga,26.0,24,16,1129,12.5,0,0.5,9,8,0,4,2,5,10,15,44,1.67,0.0,3,2.6,16,8,0.19,0.38,0.0,0.04,0.72,0.64,0.0,0.32,0.16,0.4,1.2,3.52,0.8,0.24,0.208,1.28,0.64
Ernest Nuamah,gh GHA,"FW,MF",WINGER,Lyon,fr Ligue 1,20.0,23,13,1052,11.7,1,1.5,18,33,2,30,17,22,44,43,131,2.99,0.17,3,2.2,28,13,0.11,0.23,0.085,0.128,1.538,2.821,0.171,2.564,1.453,1.88,3.675,11.197,3.761,0.256,0.188,2.393,1.111
Darwin Núñez,uy URU,FW,STRIKER,Liverpool,eng Premier League,25.0,30,8,1133,12.6,2,1.3,11,27,1,3,3,8,23,23,78,2.46,0.32,5,5.8,34,13,0.15,0.38,0.159,0.103,0.873,2.143,0.079,0.238,0.238,0.635,1.825,6.19,1.825,0.397,0.46,2.698,1.032
Ethan Nwaneri,eng ENG,"FW,MF",WINGER,Arsenal,eng Premier League,17.0,26,11,895,9.9,2,1.2,16,33,3,54,16,37,46,62,113,2.91,0.3,4,1.2,24,9,0.17,0.44,0.202,0.121,1.616,3.333,0.303,5.455,1.616,3.737,6.263,11.414,4.646,0.404,0.121,2.424,0.909
M'Bala Nzola,ao ANG,FW,STRIKER,Lens,fr Ligue 1,27.0,21,16,1460,16.2,1,1.3,20,22,0,1,9,14,26,38,118,2.4,0.31,6,8.6,47,18,0.13,0.33,0.062,0.08,1.235,1.358,0.0,0.062,0.556,0.864,2.346,7.284,1.605,0.37,0.531,2.901,1.111
Jens Odgaard,dk DEN,"MF,FW",WINGER/STRIKER,Bologna,it Serie A,25.0,29,24,1952,21.7,1,1.8,16,50,2,24,15,15,35,53,99,2.08,0.28,6,3.6,49,22,0.12,0.27,0.046,0.083,0.737,2.304,0.092,1.106,0.691,0.691,2.442,4.562,1.613,0.276,0.166,2.258,1.014
Wilson Odobert,fr FRA,"FW,MF",WINGER,Tottenham,eng Premier League,19.0,16,9,850,9.4,0,1.0,6,27,0,25,12,12,45,32,66,1.7,0.11,1,1.6,13,4,0.08,0.25,0.0,0.106,0.638,2.872,0.0,2.66,1.277,1.277,3.404,7.021,4.787,0.106,0.17,1.383,0.426
Ben Old,nz NZL,"FW,MF",WINGER,Saint-Étienne,fr Ligue 1,21.0,13,4,528,5.9,0,0.8,9,14,2,19,4,9,16,22,48,2.73,0.17,0,1.0,11,2,0.0,0.0,0.0,0.136,1.525,2.373,0.339,3.22,0.678,1.525,3.729,8.136,2.712,0.0,0.169,1.864,0.339
Michael Olise,fr FRA,"FW,MF",WINGER,Bayern Munich,de Bundesliga,22.0,34,28,2334,25.9,15,12.0,90,184,25,131,111,72,119,151,381,6.51,0.96,12,9.7,86,36,0.14,0.33,0.579,0.463,3.475,7.104,0.965,5.058,4.286,2.78,5.83,14.71,4.595,0.463,0.375,3.32,1.39
Dani Olmo,es ESP,"MF,FW",STRIKER,Barcelona,es La Liga,26.0,25,13,1212,13.5,3,3.0,26,81,11,21,29,23,33,45,97,4.9,0.89,10,6.5,40,15,0.2,0.53,0.222,0.222,1.926,6.0,0.815,1.556,2.148,1.704,3.333,7.185,2.444,0.741,0.481,2.963,1.111
Ado Onaiwu,jp JPN,"MF,FW",STRIKER,Auxerre,fr Ligue 1,28.0,31,9,957,10.6,1,1.1,10,33,1,7,9,11,17,25,74,2.63,0.09,4,4.0,23,14,0.17,0.29,0.094,0.104,0.943,3.113,0.094,0.66,0.849,1.038,2.358,6.981,1.604,0.377,0.377,2.17,1.321
Paul Onuachu,ng NGA,FW,STRIKER,Southampton,eng Premier League,30.0,25,11,1050,11.7,1,0.5,8,13,0,0,2,8,7,26,40,0.77,0.09,4,3.6,34,15,0.12,0.27,0.085,0.043,0.684,1.111,0.0,0.0,0.171,0.684,2.222,3.419,0.598,0.342,0.308,2.906,1.282
Loïs Openda,be BEL,"FW,MF",STRIKER,RB Leipzig,de Bundesliga,24.0,33,28,2453,27.3,5,3.4,28,47,2,27,20,22,58,74,229,2.42,0.37,9,9.0,77,31,0.12,0.29,0.183,0.125,1.026,1.722,0.073,0.989,0.733,0.806,2.711,8.388,2.125,0.33,0.33,2.821,1.136
Christopher Operi,ci CIV,"DF,FW",WINGER,Le Havre,fr Ligue 1,27.0,13,13,1169,13.0,2,2.2,24,52,1,128,20,14,28,27,65,2.77,0.23,0,0.3,7,1,0.0,0.0,0.154,0.169,1.846,4.0,0.077,9.846,1.538,1.077,2.077,5.0,2.154,0.0,0.023,0.538,0.077
Gift Orban,ng NGA,FW,STRIKER,Hoffenheim,de Bundesliga,22.0,13,7,687,7.6,0,0.2,2,7,1,6,2,4,8,11,35,1.57,0.26,4,3.4,11,4,0.36,1.0,0.0,0.026,0.263,0.921,0.132,0.789,0.263,0.526,1.447,4.605,1.053,0.526,0.447,1.447,0.526
Gaetano Oristanio,it ITA,"FW,MF",WINGER,Venezia,it Serie A,21.0,37,29,2315,25.7,3,2.6,33,64,4,59,22,55,72,123,131,2.68,0.27,3,4.1,44,12,0.07,0.25,0.117,0.101,1.284,2.49,0.156,2.296,0.856,2.14,4.786,5.097,2.802,0.117,0.16,1.712,0.467
Riccardo Orsolini,it ITA,FW,STRIKER,Bologna,it Serie A,27.0,30,23,1878,20.9,4,3.7,30,69,4,70,29,33,61,73,186,2.83,0.24,15,10.1,72,25,0.17,0.48,0.191,0.177,1.435,3.301,0.191,3.349,1.388,1.579,3.493,8.9,2.919,0.718,0.483,3.445,1.196
Dango Ouattara,bf BFA,FW,WINGER,Bournemouth,eng Premier League,22.0,32,21,2005,22.3,4,5.5,35,43,5,88,26,39,79,82,191,3.23,0.27,7,8.4,62,20,0.11,0.35,0.179,0.247,1.57,1.928,0.224,3.946,1.166,1.749,3.677,8.565,3.543,0.314,0.377,2.78,0.897
Guimissongui Ouattara,fr FRA,"DF,FW",WINGER/STRIKER,Strasbourg,fr Ligue 1,18.0,17,3,471,5.2,1,0.5,3,18,0,3,2,2,7,4,14,1.72,0.57,1,0.3,5,2,0.2,0.5,0.192,0.096,0.577,3.462,0.0,0.577,0.385,0.385,0.769,2.692,1.346,0.192,0.058,0.962,0.385
Mikel Oyarzabal,es ESP,FW,STRIKER,Real Sociedad,es La Liga,27.0,35,28,2250,25.0,3,2.4,15,28,2,10,10,9,31,20,133,1.52,0.2,9,9.9,39,13,0.13,0.38,0.12,0.096,0.6,1.12,0.08,0.4,0.4,0.36,0.8,5.32,1.24,0.36,0.396,1.56,0.52
Isaac Palazón Camacho,es ESP,"MF,FW",WINGER,Rayo Vallecano,es La Liga,29.0,35,25,2162,24.0,4,4.4,48,117,13,111,19,25,30,66,123,4.57,0.21,4,4.7,61,18,0.07,0.22,0.167,0.183,2.0,4.875,0.542,4.625,0.792,1.042,2.75,5.125,1.25,0.167,0.196,2.542,0.75
Cole Palmer,eng ENG,"MF,FW",WINGER,Chelsea,eng Premier League,22.0,37,36,3191,35.5,8,10.9,87,214,22,144,64,51,120,113,187,5.7,0.42,15,17.3,121,44,0.09,0.25,0.225,0.307,2.451,6.028,0.62,4.056,1.803,1.437,3.183,5.268,3.38,0.423,0.487,3.408,1.239
Lucas Paquetá,br BRA,"MF,FW",WINGER/STRIKER,West Ham,eng Premier League,26.0,33,27,2380,26.4,0,3.1,36,155,18,29,44,21,26,47,85,3.1,0.23,4,5.3,39,3,0.05,0.67,0.0,0.117,1.364,5.871,0.682,1.098,1.667,0.795,1.78,3.22,0.985,0.152,0.201,1.477,0.114
Nicolas Pays,fr FRA,"FW,MF",WINGER,Montpellier,fr Ligue 1,20.0,9,4,447,5.0,0,0.1,3,14,1,17,5,10,21,26,53,2.21,0.2,0,1.3,11,1,0.0,0.0,0.0,0.02,0.6,2.8,0.2,3.4,1.0,2.0,5.2,10.6,4.2,0.0,0.26,2.2,0.2
Nicolás Paz,ar ARG,"MF,FW",WINGER,Como,it Serie A,19.0,35,30,2687,29.9,8,6.0,54,163,15,41,38,69,77,135,171,4.82,0.54,6,9.3,109,37,0.06,0.16,0.268,0.201,1.806,5.452,0.502,1.371,1.271,2.308,4.515,5.719,2.575,0.201,0.311,3.645,1.237
Pedro,es ESP,"FW,MF",WINGER,Lazio,it Serie A,37.0,30,6,1102,12.2,1,1.7,22,76,11,65,25,16,48,32,89,4.09,0.25,10,5.3,37,16,0.22,0.5,0.082,0.139,1.803,6.23,0.902,5.328,2.049,1.311,2.623,7.295,3.934,0.82,0.434,3.033,1.311
Jordan Pefok,us USA,FW,WINGER/STRIKER,Union Berlin,de Bundesliga,28.0,18,10,908,10.1,1,0.9,14,12,0,0,2,7,3,13,40,2.58,0.0,0,3.2,23,7,0.0,0.0,0.099,0.089,1.386,1.188,0.0,0.0,0.198,0.693,1.287,3.96,0.297,0.0,0.317,2.277,0.693
Mateo Pellegrino,ar ARG,FW,STRIKER,Parma,it Serie A,23.0,13,8,737,8.2,1,0.7,5,15,1,4,6,3,6,9,37,2.44,0.37,3,3.3,22,9,0.14,0.33,0.122,0.085,0.61,1.829,0.122,0.488,0.732,0.366,1.098,4.512,0.732,0.366,0.402,2.683,1.098
Rubén Peña,es ESP,"FW,DF",WINGER,Osasuna,es La Liga,33.0,25,7,775,8.6,0,0.6,13,27,0,52,10,10,18,27,57,2.67,0.12,0,0.7,10,3,0.0,0.0,0.0,0.07,1.512,3.14,0.0,6.047,1.163,1.163,3.14,6.628,2.093,0.0,0.081,1.163,0.349
Nicolas Pépé,ci CIV,"FW,MF",WINGER,Villarreal,es La Liga,29.0,28,15,1500,16.7,6,4.8,33,60,5,44,27,27,76,64,159,3.9,0.42,3,3.8,38,17,0.08,0.18,0.359,0.287,1.976,3.593,0.299,2.635,1.617,1.617,3.832,9.521,4.551,0.18,0.228,2.275,1.018
Peque,es ESP,"MF,FW",WINGER/STRIKER,Sevilla,es La Liga,21.0,26,14,1134,12.6,1,1.2,12,35,5,10,6,11,14,26,44,2.54,0.24,1,2.5,19,4,0.05,0.25,0.079,0.095,0.952,2.778,0.397,0.794,0.476,0.873,2.063,3.492,1.111,0.079,0.198,1.508,0.317
Mathias Pereira Lage,pt POR,"FW,MF",WINGER,Brest,fr Ligue 1,27.0,29,18,1571,17.5,7,3.5,22,41,2,99,14,10,32,28,100,3.04,0.57,2,3.3,36,15,0.06,0.13,0.4,0.2,1.257,2.343,0.114,5.657,0.8,0.571,1.6,5.714,1.829,0.114,0.189,2.057,0.857
Ayoze Pérez,es ESP,FW,STRIKER,Villarreal,es La Liga,31.0,30,22,1970,21.9,2,3.0,32,73,8,15,21,34,59,78,124,3.26,0.23,19,12.7,75,31,0.25,0.61,0.091,0.137,1.461,3.333,0.365,0.685,0.959,1.553,3.562,5.662,2.694,0.868,0.58,3.425,1.416
Carles Pérez,es ESP,"MF,FW",WINGER/STRIKER,Getafe,es La Liga,26.0,27,15,1431,15.9,0,1.5,17,20,2,42,14,21,31,50,77,2.52,0.06,3,2.4,34,9,0.09,0.33,0.0,0.094,1.069,1.258,0.126,2.642,0.881,1.321,3.145,4.843,1.95,0.189,0.151,2.138,0.566
Francisco Perez,es ESP,"FW,MF",WINGER,Valencia,es La Liga,21.0,26,4,570,6.3,0,2.6,7,13,1,27,6,8,24,22,71,2.53,0.16,0,0.3,6,1,0.0,0.0,0.0,0.413,1.111,2.063,0.159,4.286,0.952,1.27,3.492,11.27,3.81,0.0,0.048,0.952,0.159
Gaëtan Perrin,fr FRA,"MF,FW",WINGER,Auxerre,fr Ligue 1,28.0,34,31,2691,29.9,11,7.8,73,142,9,162,34,60,83,127,125,4.18,0.6,10,6.1,59,26,0.17,0.38,0.368,0.261,2.441,4.749,0.301,5.418,1.137,2.007,4.247,4.181,2.776,0.334,0.204,1.973,0.87
Giuseppe Pezzella,it ITA,"DF,FW",WINGER/STRIKER,Empoli,it Serie A,26.0,35,34,2878,32.0,3,4.6,36,80,2,178,30,17,77,51,143,1.85,0.16,0,0.6,15,3,0.0,0.0,0.094,0.144,1.125,2.5,0.062,5.562,0.938,0.531,1.594,4.469,2.406,0.0,0.019,0.469,0.094
Jaden Philogene Bidace,eng ENG,"FW,DF",STRIKER,Ipswich Town,eng Premier League,22.0,10,5,474,5.3,0,0.2,5,10,0,13,4,5,13,18,36,1.71,0.0,2,2.0,12,5,0.17,0.4,0.0,0.038,0.943,1.887,0.0,2.453,0.755,0.943,3.396,6.792,2.453,0.377,0.377,2.264,0.943
Roberto Piccoli,it ITA,FW,STRIKER,Cagliari,it Serie A,23.0,37,37,3127,34.7,1,0.9,13,37,0,8,7,14,30,63,165,1.64,0.23,10,12.7,97,28,0.09,0.32,0.029,0.026,0.375,1.066,0.0,0.231,0.202,0.403,1.816,4.755,0.865,0.288,0.366,2.795,0.807
Benedikt Pichler,at AUT,FW,STRIKER,Holstein Kiel,de Bundesliga,27.0,18,7,785,8.7,2,1.1,12,19,2,11,7,8,18,18,58,3.44,0.34,1,2.3,20,9,0.05,0.11,0.23,0.126,1.379,2.184,0.23,1.264,0.805,0.92,2.069,6.667,2.069,0.115,0.264,2.299,1.034
