Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Kai Havertz,de GER,"FW,MF",STRIKER,Arsenal,eng Premier League,25.0,23,21,1875,20.8,3,2.4,17,61,1,11,9,9,35,38,113,2.02,0.14,9,9.5,53,21,0.17,0.43,0.144,0.115,0.817,2.933,0.048,0.529,0.433,0.433,1.827,5.433,1.683,0.433,0.457,2.548,1.01
Hwang Hee-chan,kr KOR,"MF,FW",WINGER/STRIKER,Wolves,eng Premier League,28.0,21,5,661,7.3,0,0.1,3,12,1,8,4,2,15,14,42,1.22,0.14,2,0.8,5,3,0.4,0.67,0.0,0.014,0.411,1.644,0.137,1.096,0.548,0.274,1.918,5.753,2.055,0.274,0.11,0.685,0.411
Luis Henrique,br BRA,"DF,FW",WINGER,Marseille,fr Ligue 1,22.0,33,29,2613,29.0,7,4.2,53,143,2,97,47,51,84,91,280,3.62,0.52,7,4.2,30,14,0.23,0.5,0.241,0.145,1.828,4.931,0.069,3.345,1.621,1.759,3.138,9.655,2.897,0.241,0.145,1.034,0.483
Son Heung-min,kr KOR,FW,WINGER,Tottenham,eng Premier League,32.0,30,24,2110,23.4,9,8.2,50,111,4,78,51,29,96,83,265,4.99,0.64,7,7.2,55,24,0.11,0.25,0.385,0.35,2.137,4.744,0.171,3.333,2.179,1.239,3.547,11.325,4.103,0.299,0.308,2.35,1.026
George Hirst,sct SCO,FW,STRIKER,Ipswich Town,eng Premier League,25.0,26,5,661,7.3,1,0.3,4,13,0,3,4,2,9,6,31,1.22,0.41,3,2.1,14,7,0.21,0.43,0.137,0.041,0.548,1.781,0.0,0.411,0.548,0.274,0.822,4.247,1.233,0.411,0.288,1.918,0.959
Adam Hložek,cz CZE,"FW,MF",STRIKER,Hoffenheim,de Bundesliga,22.0,27,22,1871,20.8,4,3.5,20,68,1,20,19,33,54,64,102,2.74,0.48,8,5.6,59,24,0.14,0.33,0.192,0.168,0.962,3.269,0.048,0.962,0.913,1.587,3.077,4.904,2.596,0.385,0.269,2.837,1.154
Philipp Hofmann,de GER,FW,STRIKER,Bochum,de Bundesliga,31.0,32,27,2277,25.3,3,3.3,26,53,2,10,9,10,8,20,112,2.17,0.12,3,5.5,54,19,0.06,0.16,0.119,0.13,1.028,2.095,0.079,0.395,0.356,0.395,0.791,4.427,0.316,0.119,0.217,2.134,0.751
Lucas Höler,de GER,"FW,MF",STRIKER,Freiburg,de Bundesliga,30.0,31,21,1867,20.7,4,2.9,22,47,1,14,9,18,21,34,122,2.46,0.29,6,7.7,34,17,0.18,0.35,0.193,0.14,1.063,2.271,0.048,0.676,0.435,0.87,1.643,5.894,1.014,0.29,0.372,1.643,0.821
Benedict Hollerbach,de GER,"FW,MF",WINGER,Union Berlin,de Bundesliga,23.0,34,30,2540,28.2,1,1.6,26,68,3,73,22,42,103,115,214,2.8,0.25,9,7.0,76,24,0.12,0.38,0.035,0.057,0.922,2.411,0.106,2.589,0.78,1.489,4.078,7.589,3.652,0.319,0.248,2.695,0.851
Gerrit Holtmann,ph PHI,"DF,FW",WINGER,Bochum,de Bundesliga,29.0,23,12,1136,12.6,1,2.9,20,33,0,91,25,6,50,20,97,3.4,0.24,2,2.0,31,8,0.06,0.25,0.079,0.23,1.587,2.619,0.0,7.222,1.984,0.476,1.587,7.698,3.968,0.159,0.159,2.46,0.635
