Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,Cmp,Att,Cmp%,TB,Crs,CK,1/3,PPA,Touches,PrgC,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,Cmp_p90,Att_p90,TB_p90,Crs_p90,CK_p90,1/3_p90,PPA_p90,Touches_p90,PrgC_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90,Cluster
Loum Tchaouna,fr FRA,"FW,MF",CM,Lazio,it Serie A,20.0,24,6,660,7.3,0,0.6,10,20,172,247,69.6,1,32,15,9,8,341,22,5,10,66,3.4,0.82,1,2.5,23,8,0.04,0.13,8,4,4,5,14,2,0.0,0.082,1.37,2.74,23.562,33.836,0.137,4.384,2.055,1.233,1.096,46.712,3.014,0.685,1.37,9.041,0.137,0.342,3.151,1.096,1.096,0.548,0.548,0.685,1.918,0.274,1
Jackson Tchatchoua,cm CMR,"DF,MF",CDM,Hellas Verona,it Serie A,22.0,36,36,3167,35.2,3,2.8,34,72,837,1126,74.3,2,118,0,39,29,1403,88,21,40,163,1.71,0.09,2,1.6,18,3,0.11,0.67,50,31,14,21,75,2,0.085,0.08,0.966,2.045,23.778,31.989,0.057,3.352,0.0,1.108,0.824,39.858,2.5,0.597,1.136,4.631,0.057,0.045,0.511,0.085,1.42,0.881,0.398,0.597,2.131,0.057,0
Aurélien Tchouaméni,fr FRA,"DF,MF",CDM,Real Madrid,es La Liga,24.0,32,31,2689,29.9,0,0.6,5,154,1869,2025,92.3,0,12,0,176,9,2324,19,10,16,13,1.14,0.0,0,1.7,19,3,0.0,0.0,47,23,46,34,92,1,0.0,0.02,0.167,5.151,62.508,67.726,0.0,0.401,0.0,5.886,0.301,77.726,0.635,0.334,0.535,0.435,0.0,0.057,0.635,0.1,1.572,0.769,1.538,1.137,3.077,0.033,0
Álvaro Tejero,es ESP,"MF,DF",CAM,Espanyol,es La Liga,28.0,28,13,1238,13.8,4,2.9,33,46,453,626,72.4,1,113,53,26,21,757,27,3,14,72,4.0,0.65,1,0.6,17,4,0.06,0.25,14,4,13,9,34,1,0.29,0.21,2.391,3.333,32.826,45.362,0.072,8.188,3.841,1.884,1.522,54.855,1.957,0.217,1.014,5.217,0.072,0.043,1.232,0.29,1.014,0.29,0.942,0.652,2.464,0.072,2
Nathan Tella,ng NGA,"MF,FW",CM,Leverkusen,de Bundesliga,25.0,27,17,1359,15.1,4,1.5,18,22,256,343,74.6,2,25,0,15,10,529,38,19,51,130,2.12,0.46,2,3.1,28,10,0.07,0.2,16,11,4,15,10,0,0.265,0.099,1.192,1.457,16.954,22.715,0.132,1.656,0.0,0.993,0.662,35.033,2.517,1.258,3.377,8.609,0.132,0.205,1.854,0.662,1.06,0.728,0.265,0.993,0.662,0.0,1
Filippo Terracciano,it ITA,"DF,MF",CDM,Milan,it Serie A,21.0,13,6,539,6.0,0,0.1,2,14,226,257,87.9,1,3,0,21,1,303,5,0,2,9,0.67,0.0,0,0.2,3,1,0.0,0.0,9,6,6,1,11,0,0.0,0.017,0.333,2.333,37.667,42.833,0.167,0.5,0.0,3.5,0.167,50.5,0.833,0.0,0.333,1.5,0.0,0.033,0.5,0.167,1.5,1.0,1.0,0.167,1.833,0.0,0
Ramón Terrats,es ESP,"MF,FW",CM,Getafe,es La Liga,23.0,15,15,1219,13.5,1,2.5,16,36,228,352,64.8,5,35,12,29,9,493,8,25,50,37,2.36,0.15,4,2.2,19,8,0.21,0.5,20,10,8,9,16,0,0.074,0.185,1.185,2.667,16.889,26.074,0.37,2.593,0.889,2.148,0.667,36.519,0.593,1.852,3.704,2.741,0.296,0.163,1.407,0.593,1.481,0.741,0.593,0.667,1.185,0.0,1
Martin Terrier,fr FRA,"MF,FW",CM,Leverkusen,de Bundesliga,27.0,15,7,584,6.5,1,0.9,8,14,163,199,81.9,2,5,2,6,5,250,11,2,4,35,3.24,0.46,2,2.4,16,6,0.13,0.33,4,2,1,3,1,0,0.154,0.138,1.231,2.154,25.077,30.615,0.308,0.769,0.308,0.923,0.769,38.462,1.692,0.308,0.615,5.385,0.308,0.369,2.462,0.923,0.615,0.308,0.154,0.462,0.154,0.0,1
Tanner Tessmann,us USA,MF,CDM,Lyon,fr Ligue 1,22.0,25,13,1234,13.7,0,0.6,7,56,685,766,89.4,1,14,5,64,3,915,11,10,20,27,1.31,0.07,1,1.0,18,10,0.06,0.1,25,15,19,13,29,1,0.0,0.044,0.511,4.088,50.0,55.912,0.073,1.022,0.365,4.672,0.219,66.788,0.803,0.73,1.46,1.971,0.073,0.073,1.314,0.73,1.825,1.095,1.387,0.949,2.117,0.073,0
Teddy Teuma,mt MLT,MF,CDM,Reims,fr Ligue 1,30.0,17,9,750,8.3,0,1.1,13,47,494,624,79.2,3,44,23,41,9,722,9,3,12,34,3.36,0.0,1,1.4,13,2,0.0,0.0,18,10,12,12,8,1,0.0,0.133,1.566,5.663,59.518,75.181,0.361,5.301,2.771,4.94,1.084,86.988,1.084,0.361,1.446,4.096,0.12,0.169,1.566,0.241,2.169,1.205,1.446,1.446,0.964,0.12,0
Florian Thauvin,fr FRA,"FW,MF",CAM,Udinese,it Serie A,31.0,25,24,1956,21.7,3,3.8,39,90,544,819,66.4,5,168,56,58,43,1062,92,39,92,148,4.28,0.41,8,8.1,51,23,0.14,0.3,20,14,7,6,10,0,0.138,0.175,1.797,4.147,25.069,37.742,0.23,7.742,2.581,2.673,1.982,48.94,4.24,1.797,4.24,6.82,0.369,0.373,2.35,1.06,0.922,0.645,0.323,0.276,0.461,0.0,2
Sorba Thomas,wls WAL,"FW,MF",CM,Nantes,fr Ligue 1,24.0,25,15,1321,14.7,3,3.7,36,34,360,550,65.5,0,130,53,27,24,674,41,9,24,93,3.68,0.41,1,1.5,9,1,0.11,1.0,14,6,9,12,27,1,0.204,0.252,2.449,2.313,24.49,37.415,0.0,8.844,3.605,1.837,1.633,45.85,2.789,0.612,1.633,6.327,0.068,0.102,0.612,0.068,0.952,0.408,0.612,0.816,1.837,0.068,1
Adrien Thomasson,fr FRA,MF,CAM,Lens,fr Ligue 1,30.0,33,31,2615,29.1,7,6.0,56,149,1318,1612,81.8,4,58,24,99,29,1995,30,26,60,138,3.75,0.38,3,5.9,41,11,0.07,0.27,90,47,19,48,28,2,0.241,0.206,1.924,5.12,45.292,55.395,0.137,1.993,0.825,3.402,0.997,68.557,1.031,0.893,2.062,4.742,0.103,0.203,1.409,0.378,3.093,1.615,0.653,1.649,0.962,0.069,2
