Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,Cmp,Att,Cmp%,TB,Crs,CK,1/3,PPA,Touches,PrgC,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,Cmp_p90,Att_p90,TB_p90,Crs_p90,CK_p90,1/3_p90,PPA_p90,Touches_p90,PrgC_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90,Cluster
Takefusa Kubo,jp JPN,"MF,FW",CM,Real Sociedad,es La Liga,23.0,36,27,2372,26.4,0,4.5,45,110,694,962,72.1,7,85,28,59,45,1341,133,75,157,218,4.33,0.3,5,3.6,43,14,0.12,0.36,31,20,17,38,13,1,0.0,0.17,1.705,4.167,26.288,36.439,0.265,3.22,1.061,2.235,1.705,50.795,5.038,2.841,5.947,8.258,0.189,0.136,1.629,0.53,1.174,0.758,0.644,1.439,0.492,0.038,1
Mohammed Kudus,gh GHA,"FW,MF",CM,West Ham,eng Premier League,23.0,32,31,2590,28.8,3,3.1,31,79,715,855,83.6,2,81,1,46,29,1274,98,92,208,216,3.72,0.35,5,6.9,75,21,0.07,0.24,38,23,4,24,8,2,0.104,0.108,1.076,2.743,24.826,29.688,0.069,2.812,0.035,1.597,1.007,44.236,3.403,3.194,7.222,7.5,0.174,0.24,2.604,0.729,1.319,0.799,0.139,0.833,0.278,0.069,1
Dejan Kulusevski,se SWE,"MF,FW",CAM,Tottenham,eng Premier League,24.0,32,27,2389,26.5,4,6.2,65,124,658,893,73.7,11,89,62,62,52,1276,120,38,117,210,4.82,0.34,7,4.2,47,17,0.15,0.41,45,23,13,34,10,1,0.151,0.234,2.453,4.679,24.83,33.698,0.415,3.358,2.34,2.34,1.962,48.151,4.528,1.434,4.415,7.925,0.264,0.158,1.774,0.642,1.698,0.868,0.491,1.283,0.377,0.038,2
Daler Kuzyaev,ru RUS,MF,CDM,Le Havre,fr Ligue 1,31.0,12,6,567,6.3,0,0.6,2,32,211,260,81.2,1,6,2,12,3,317,4,2,3,9,0.63,0.0,1,0.2,4,3,0.25,0.33,13,8,9,7,8,0,0.0,0.095,0.317,5.079,33.492,41.27,0.159,0.952,0.317,1.905,0.476,50.317,0.635,0.317,0.476,1.429,0.159,0.032,0.635,0.476,2.063,1.27,1.429,1.111,1.27,0.0,0
Khvicha Kvaratskhelia,ge GEO,"FW,MF",CAM,Napoli,it Serie A,23.0,17,15,1178,13.1,3,3.7,28,57,352,461,76.4,7,51,30,31,23,659,74,19,72,89,4.35,0.46,5,4.1,49,16,0.08,0.25,15,9,4,13,7,0,0.229,0.282,2.137,4.351,26.87,35.191,0.534,3.893,2.29,2.366,1.756,50.305,5.649,1.45,5.496,6.794,0.382,0.313,3.74,1.221,1.145,0.687,0.305,0.992,0.534,0.0,2
Rémy Labeau Lascary,gp GLP,"FW,MF",CM,Lens,fr Ligue 1,21.0,14,6,637,7.1,1,1.1,7,7,127,174,73.0,1,19,0,7,9,275,17,12,26,71,2.83,0.71,2,2.5,14,5,0.14,0.4,16,10,1,5,7,0,0.141,0.155,0.986,0.986,17.887,24.507,0.141,2.676,0.0,0.986,1.268,38.732,2.394,1.69,3.662,10.0,0.282,0.352,1.972,0.704,2.254,1.408,0.141,0.704,0.986,0.0,1
Hugo Larsson,se SWE,MF,CDM,Eint Frankfurt,de Bundesliga,20.0,33,28,2393,26.6,1,2.1,21,121,1080,1243,86.9,2,8,0,89,19,1478,16,12,19,33,2.14,0.19,3,3.1,21,10,0.14,0.3,47,27,30,42,35,1,0.038,0.079,0.789,4.549,40.602,46.729,0.075,0.301,0.0,3.346,0.714,55.564,0.602,0.451,0.714,1.241,0.113,0.117,0.789,0.376,1.767,1.015,1.128,1.579,1.316,0.038,0
Roméo Lavia,be BEL,MF,CDM,Chelsea,eng Premier League,20.0,16,11,797,8.9,1,0.7,7,31,389,424,91.7,3,0,0,49,3,493,3,10,16,7,1.58,0.23,0,0.3,2,0,0.0,0.0,22,13,16,6,10,1,0.112,0.079,0.787,3.483,43.708,47.64,0.337,0.0,0.0,5.506,0.337,55.393,0.337,1.124,1.798,0.787,0.0,0.034,0.225,0.0,2.472,1.461,1.798,0.674,1.124,0.112,0
Darko Lazović,rs SRB,"DF,MF",CM,Hellas Verona,it Serie A,33.0,27,17,1459,16.2,3,3.4,18,40,315,505,62.4,2,70,12,21,15,659,22,7,22,88,1.42,0.25,2,2.5,19,3,0.05,0.33,21,10,11,19,39,0,0.185,0.21,1.111,2.469,19.444,31.173,0.123,4.321,0.741,1.296,0.926,40.679,1.358,0.432,1.358,5.432,0.123,0.154,1.173,0.185,1.296,0.617,0.679,1.173,2.407,0.0,1
Pierre Lees-Melou,fr FRA,MF,CDM,Brest,fr Ligue 1,31.0,20,17,1526,17.0,2,2.8,19,105,902,1057,85.3,8,22,2,110,13,1228,23,12,21,36,3.07,0.24,2,1.3,22,8,0.09,0.25,48,33,12,19,23,0,0.118,0.165,1.118,6.176,53.059,62.176,0.471,1.294,0.118,6.471,0.765,72.235,1.353,0.706,1.235,2.118,0.118,0.076,1.294,0.471,2.824,1.941,0.706,1.118,1.353,0.0,0
Félix Lemaréchal,fr FRA,"MF,FW",CM,Strasbourg,fr Ligue 1,20.0,27,20,1779,19.8,3,2.9,29,58,551,694,79.4,7,26,9,35,10,935,35,24,48,90,2.83,0.3,4,3.5,25,9,0.16,0.44,35,24,14,35,19,0,0.152,0.146,1.465,2.929,27.828,35.051,0.354,1.313,0.455,1.768,0.505,47.222,1.768,1.212,2.424,4.545,0.202,0.177,1.263,0.455,1.768,1.212,0.707,1.768,0.96,0.0,1
Mario Lemina,ga GAB,"MF,DF",CDM,Wolves,eng Premier League,30.0,17,15,1364,15.2,3,1.1,10,48,493,613,80.4,6,10,0,43,13,809,8,10,16,21,1.71,0.33,1,1.4,18,5,0.06,0.2,51,31,27,12,50,3,0.197,0.072,0.658,3.158,32.434,40.329,0.395,0.658,0.0,2.829,0.855,53.224,0.526,0.658,1.053,1.382,0.066,0.092,1.184,0.329,3.355,2.039,1.776,0.789,3.289,0.197,0
Johann Lepenant,fr FRA,MF,CDM,Nantes,fr Ligue 1,21.0,29,23,2048,22.8,1,0.9,8,89,582,725,80.3,2,16,1,70,12,992,25,18,36,62,1.63,0.26,2,1.4,20,5,0.1,0.4,68,33,18,35,25,0,0.044,0.039,0.351,3.904,25.526,31.798,0.088,0.702,0.044,3.07,0.526,43.509,1.096,0.789,1.579,2.719,0.088,0.061,0.877,0.219,2.982,1.447,0.789,1.535,1.096,0.0,0
Jefferson Lerma,co COL,"MF,DF",CDM,Crystal Palace,eng Premier League,29.0,33,26,2274,25.3,1,1.6,10,97,844,1121,75.3,9,12,0,87,18,1406,13,7,13,26,1.86,0.12,0,1.1,26,8,0.0,0.0,35,17,42,38,80,1,0.04,0.063,0.395,3.834,33.36,44.308,0.356,0.474,0.0,3.439,0.711,55.573,0.514,0.277,0.514,1.028,0.0,0.043,1.028,0.316,1.383,0.672,1.66,1.502,3.162,0.04,0
Louis Leroux,fr FRA,"MF,DF",CDM,Nantes,fr Ligue 1,18.0,16,8,816,9.1,1,1.3,12,31,248,300,82.7,0,6,0,13,8,411,11,8,20,14,3.31,0.33,2,1.5,9,5,0.22,0.4,25,18,8,22,19,1,0.11,0.143,1.319,3.407,27.253,32.967,0.0,0.659,0.0,1.429,0.879,45.165,1.209,0.879,2.198,1.538,0.22,0.165,0.989,0.549,2.747,1.978,0.879,2.418,2.088,0.11,0
Jamie Leweling,de GER,"MF,FW",CM,Stuttgart,de Bundesliga,23.0,27,22,1663,18.5,2,3.8,25,51,409,580,70.5,2,58,0,25,26,801,55,41,82,164,2.82,0.49,2,1.6,29,16,0.07,0.13,16,6,11,22,17,1,0.108,0.205,1.351,2.757,22.108,31.351,0.108,3.135,0.0,1.351,1.405,43.297,2.973,2.216,4.432,8.865,0.108,0.086,1.568,0.865,0.865,0.324,0.595,1.189,0.919,0.054,1
Rico Lewis,eng ENG,"DF,MF",CDM,Manchester City,eng Premier League,19.0,28,21,1893,21.0,2,0.3,7,107,1201,1312,91.5,3,6,0,92,14,1477,39,9,21,78,1.47,0.14,1,1.4,10,2,0.1,0.5,30,19,13,28,45,1,0.095,0.014,0.333,5.095,57.19,62.476,0.143,0.286,0.0,4.381,0.667,70.333,1.857,0.429,1.0,3.714,0.048,0.067,0.476,0.095,1.429,0.905,0.619,1.333,2.143,0.048,0
Karol Linetty,pl POL,MF,CDM,Torino,it Serie A,29.0,28,18,1540,17.1,0,0.9,10,47,478,565,84.6,1,4,2,45,10,732,18,7,21,19,1.4,0.12,1,1.1,17,4,0.06,0.25,39,23,12,14,31,1,0.0,0.053,0.585,2.749,27.953,33.041,0.058,0.234,0.117,2.632,0.585,42.807,1.053,0.409,1.228,1.111,0.058,0.064,0.994,0.234,2.281,1.345,0.702,0.819,1.813,0.058,0
Samuel Lino,br BRA,"MF,DF",CM,Atlético Madrid,es La Liga,24.0,31,21,1552,17.2,4,2.9,22,73,652,821,79.4,1,41,2,41,24,1038,72,27,56,179,2.84,0.35,3,6.0,45,18,0.07,0.17,33,17,8,23,13,0,0.233,0.169,1.279,4.244,37.907,47.733,0.058,2.384,0.116,2.384,1.395,60.349,4.186,1.57,3.256,10.407,0.174,0.349,2.616,1.047,1.919,0.988,0.465,1.337,0.756,0.0,1
Dailon Livramento,cv CPV,"FW,MF",CM,Hellas Verona,it Serie A,23.0,29,8,940,10.4,1,0.9,8,13,97,180,53.9,0,18,0,9,3,307,23,6,25,67,1.82,0.38,1,1.8,13,4,0.08,0.25,15,11,3,10,9,0,0.096,0.087,0.769,1.25,9.327,17.308,0.0,1.731,0.0,0.865,0.288,29.519,2.212,0.577,2.404,6.442,0.096,0.173,1.25,0.385,1.442,1.058,0.288,0.962,0.865,0.0,1
Marcos Llorente,es ESP,"DF,MF",CDM,Atlético Madrid,es La Liga,29.0,33,28,2513,27.9,4,4.3,28,111,1337,1563,85.5,1,62,0,90,26,1808,82,14,30,151,2.01,0.43,2,0.8,16,5,0.13,0.4,69,52,27,32,51,1,0.143,0.154,1.004,3.978,47.921,56.022,0.036,2.222,0.0,3.226,0.932,64.803,2.939,0.502,1.075,5.412,0.072,0.029,0.573,0.179,2.473,1.864,0.968,1.147,1.828,0.036,0
Giovani Lo Celso,ar ARG,"MF,FW",CAM,Betis,es La Liga,28.0,25,15,1457,16.2,3,4.9,43,132,766,970,79.0,15,95,67,89,41,1167,26,21,55,66,5.74,0.56,8,4.8,31,16,0.19,0.38,34,22,5,14,3,1,0.185,0.302,2.654,8.148,47.284,59.877,0.926,5.864,4.136,5.494,2.531,72.037,1.605,1.296,3.395,4.074,0.494,0.296,1.914,0.988,2.099,1.358,0.309,0.864,0.185,0.062,2
Stanislav Lobotka,sk SVK,MF,CDM,Napoli,it Serie A,29.0,32,31,2636,29.3,1,1.2,17,118,1600,1762,90.8,3,2,0,110,20,1967,30,8,11,32,1.84,0.2,0,0.3,7,0,0.0,0.0,47,30,21,29,57,1,0.034,0.041,0.58,4.027,54.608,60.137,0.102,0.068,0.0,3.754,0.683,67.133,1.024,0.273,0.375,1.092,0.0,0.01,0.239,0.0,1.604,1.024,0.717,0.99,1.945,0.034,0
Manuel Locatelli,it ITA,MF,CDM,Juventus,it Serie A,26.0,36,34,2822,31.4,2,2.5,29,294,2134,2431,87.8,3,24,8,327,31,2752,33,8,22,33,3.13,0.26,2,1.8,24,7,0.04,0.14,72,49,23,58,77,0,0.064,0.08,0.924,9.363,67.962,77.42,0.096,0.764,0.255,10.414,0.987,87.643,1.051,0.255,0.701,1.051,0.064,0.057,0.764,0.223,2.293,1.561,0.732,1.847,2.452,0.0,0
Ruben Loftus-Cheek,eng ENG,MF,CDM,Milan,it Serie A,28.0,19,10,1037,11.5,0,1.9,16,51,435,485,89.7,1,7,0,40,7,593,27,11,23,32,2.95,0.17,0,0.7,9,2,0.0,0.0,19,8,3,3,20,0,0.0,0.165,1.391,4.435,37.826,42.174,0.087,0.609,0.0,3.478,0.609,51.565,2.348,0.957,2.0,2.783,0.0,0.061,0.783,0.174,1.652,0.696,0.261,0.261,1.739,0.0,0
Enzo Loiodice,fr FRA,MF,CDM,Las Palmas,es La Liga,23.0,17,7,684,7.6,0,0.2,5,31,377,443,85.1,0,10,7,30,1,532,3,4,13,3,1.71,0.0,0,0.3,7,4,0.0,0.0,17,7,10,4,7,2,0.0,0.026,0.658,4.079,49.605,58.289,0.0,1.316,0.921,3.947,0.132,70.0,0.395,0.526,1.711,0.395,0.0,0.039,0.921,0.526,2.237,0.921,1.316,0.526,0.921,0.263,0
Sean Longstaff,eng ENG,MF,CDM,Newcastle Utd,eng Premier League,26.0,25,8,798,8.9,0,0.2,4,40,295,349,84.5,2,5,1,26,1,434,4,2,7,22,1.58,0.23,0,0.6,6,1,0.0,0.0,27,16,7,17,8,0,0.0,0.022,0.449,4.494,33.146,39.213,0.225,0.562,0.112,2.921,0.112,48.764,0.449,0.225,0.787,2.472,0.0,0.067,0.674,0.112,3.034,1.798,0.787,1.91,0.899,0.0,0
Ademola Lookman,ng NGA,"MF,FW",CAM,Atalanta,it Serie A,26.0,31,28,2247,25.0,5,7.1,61,73,684,944,72.5,3,124,84,29,43,1274,142,37,104,316,5.41,0.6,15,10.3,81,32,0.17,0.44,32,15,3,19,5,1,0.2,0.284,2.44,2.92,27.36,37.76,0.12,4.96,3.36,1.16,1.72,50.96,5.68,1.48,4.16,12.64,0.6,0.412,3.24,1.28,1.28,0.6,0.12,0.76,0.2,0.04,2
Diego López,es ESP,"MF,FW",CM,Valencia,es La Liga,22.0,38,35,2737,30.4,5,5.0,38,85,680,943,72.1,5,67,0,43,34,1257,76,23,77,219,2.27,0.3,8,6.6,44,14,0.18,0.57,31,18,16,30,15,0,0.164,0.164,1.25,2.796,22.368,31.02,0.164,2.204,0.0,1.414,1.118,41.349,2.5,0.757,2.533,7.204,0.263,0.217,1.447,0.461,1.02,0.592,0.526,0.987,0.493,0.0,1
Fer López,,"FW,MF",CAM,Celta Vigo,es La Liga,,17,7,671,7.5,0,1.9,14,43,220,260,84.6,7,2,2,19,12,365,27,18,34,58,4.02,0.4,2,2.7,20,5,0.1,0.4,9,5,2,10,7,0,0.0,0.253,1.867,5.733,29.333,34.667,0.933,0.267,0.267,2.533,1.6,48.667,3.6,2.4,4.533,7.733,0.267,0.36,2.667,0.667,1.2,0.667,0.267,1.333,0.933,0.0,2
Fermin López,es ESP,"MF,FW",CAM,Barcelona,es La Liga,21.0,28,12,1252,13.9,5,3.9,29,79,552,675,81.8,8,47,28,65,20,858,31,25,55,108,4.1,0.5,6,5.6,41,15,0.15,0.4,19,15,5,11,3,0,0.36,0.281,2.086,5.683,39.712,48.561,0.576,3.381,2.014,4.676,1.439,61.727,2.23,1.799,3.957,7.77,0.432,0.403,2.95,1.079,1.367,1.079,0.36,0.791,0.216,0.0,2
Unai López,es ESP,MF,CDM,Rayo Vallecano,es La Liga,28.0,32,23,1707,19.0,1,1.0,19,112,1041,1236,84.2,5,33,19,106,11,1410,22,15,23,40,2.79,0.11,3,1.6,26,11,0.12,0.27,31,21,21,18,20,0,0.053,0.053,1.0,5.895,54.789,65.053,0.263,1.737,1.0,5.579,0.579,74.211,1.158,0.789,1.211,2.105,0.158,0.084,1.368,0.579,1.632,1.105,1.105,0.947,1.053,0.0,0
Anthony Losilla,fr FRA,MF,CDM,Bochum,de Bundesliga,38.0,21,13,1137,12.6,0,0.4,7,45,321,419,76.6,0,4,0,23,9,547,3,1,5,11,1.5,0.16,0,0.1,5,0,0.0,0.0,30,16,18,22,27,1,0.0,0.032,0.556,3.571,25.476,33.254,0.0,0.317,0.0,1.825,0.714,43.413,0.238,0.079,0.397,0.873,0.0,0.008,0.397,0.0,2.381,1.27,1.429,1.746,2.143,0.079,0
Tom Louchet,fr FRA,"DF,MF",CDM,Nice,fr Ligue 1,21.0,22,7,775,8.6,0,1.2,14,36,371,454,81.7,0,35,8,28,9,579,19,4,13,37,3.6,0.12,1,0.8,12,4,0.08,0.25,27,17,18,12,20,0,0.0,0.14,1.628,4.186,43.14,52.791,0.0,4.07,0.93,3.256,1.047,67.326,2.209,0.465,1.512,4.302,0.116,0.093,1.395,0.465,3.14,1.977,2.093,1.395,2.326,0.0,0
Sandi Lovrić,si SVN,MF,CM,Udinese,it Serie A,26.0,36,31,2308,25.6,3,3.4,32,120,749,952,78.7,3,90,49,81,21,1258,60,21,48,71,3.16,0.39,2,2.6,49,12,0.04,0.17,46,29,22,33,27,1,0.117,0.133,1.25,4.688,29.258,37.188,0.117,3.516,1.914,3.164,0.82,49.141,2.344,0.82,1.875,2.773,0.078,0.102,1.914,0.469,1.797,1.133,0.859,1.289,1.055,0.039,1
Pol Lozano,es ESP,MF,CDM,Espanyol,es La Liga,24.0,30,27,1943,21.6,1,0.8,17,115,694,828,83.8,4,19,10,95,11,1026,18,5,19,12,1.84,0.09,0,0.2,8,2,0.0,0.0,53,34,22,32,31,0,0.046,0.037,0.787,5.324,32.13,38.333,0.185,0.88,0.463,4.398,0.509,47.5,0.833,0.231,0.88,0.556,0.0,0.009,0.37,0.093,2.454,1.574,1.019,1.481,1.435,0.0,0
Douglas Luiz,br BRA,MF,CAM,Juventus,it Serie A,26.0,19,3,529,5.9,0,1.0,15,35,379,438,86.5,1,26,18,19,9,487,16,11,14,12,4.75,0.17,0,0.6,8,2,0.0,0.0,13,8,4,5,5,0,0.0,0.169,2.542,5.932,64.237,74.237,0.169,4.407,3.051,3.22,1.525,82.542,2.712,1.864,2.373,2.034,0.0,0.102,1.356,0.339,2.203,1.356,0.678,0.847,0.847,0.0,2
Saša Lukić,rs SRB,MF,CDM,Fulham,eng Premier League,27.0,30,28,2344,26.0,2,2.7,26,98,1100,1260,87.3,1,62,42,104,17,1493,39,8,17,33,2.11,0.15,0,1.2,18,2,0.0,0.0,68,39,28,20,35,1,0.077,0.104,1.0,3.769,42.308,48.462,0.038,2.385,1.615,4.0,0.654,57.423,1.5,0.308,0.654,1.269,0.0,0.046,0.692,0.077,2.615,1.5,1.077,0.769,1.346,0.038,0
Zito Luvumbo,ao ANG,"FW,MF",CM,Cagliari,it Serie A,22.0,26,19,1606,17.8,2,3.1,17,31,181,302,59.9,0,65,2,16,13,477,70,25,63,125,1.96,0.22,2,2.1,23,4,0.09,0.5,10,6,4,5,4,0,0.112,0.174,0.955,1.742,10.169,16.966,0.0,3.652,0.112,0.899,0.73,26.798,3.933,1.404,3.539,7.022,0.112,0.118,1.292,0.225,0.562,0.337,0.225,0.281,0.225,0.0,1
Senne Lynen,be BEL,MF,CDM,Werder Bremen,de Bundesliga,25.0,32,32,2733,30.4,1,0.6,8,91,1099,1326,82.9,2,5,0,81,15,1717,9,12,28,28,1.05,0.2,0,1.1,24,3,0.0,0.0,72,39,65,56,75,5,0.033,0.02,0.263,2.993,36.151,43.618,0.066,0.164,0.0,2.664,0.493,56.48,0.296,0.395,0.921,0.921,0.0,0.036,0.789,0.099,2.368,1.283,2.138,1.842,2.467,0.164,0
Alexis Mac Allister,ar ARG,MF,CDM,Liverpool,eng Premier League,25.0,35,30,2599,28.9,5,4.7,45,177,1273,1524,83.5,6,86,71,122,35,1860,36,16,42,80,4.15,0.52,5,2.8,38,13,0.13,0.38,95,58,22,61,29,1,0.173,0.163,1.557,6.125,44.048,52.734,0.208,2.976,2.457,4.221,1.211,64.36,1.246,0.554,1.453,2.768,0.173,0.097,1.315,0.45,3.287,2.007,0.761,2.111,1.003,0.035,0
Deiver Machado,co COL,"DF,MF",CDM,Lens,fr Ligue 1,30.0,27,20,1805,20.1,4,2.1,20,45,763,913,83.6,1,51,5,30,19,1123,42,23,47,80,2.24,0.4,1,2.3,23,5,0.04,0.2,36,26,16,20,34,2,0.199,0.104,0.995,2.239,37.96,45.423,0.05,2.537,0.249,1.493,0.945,55.871,2.09,1.144,2.338,3.98,0.05,0.114,1.144,0.249,1.791,1.294,0.796,0.995,1.692,0.1,0
Shuto Machino,jp JPN,"FW,MF",CM,Holstein Kiel,de Bundesliga,24.0,32,23,1953,21.7,2,3.0,27,59,454,707,64.2,3,35,7,35,20,899,30,10,18,108,3.41,0.41,11,6.5,49,21,0.18,0.43,8,5,7,12,28,1,0.092,0.138,1.244,2.719,20.922,32.581,0.138,1.613,0.323,1.613,0.922,41.429,1.382,0.461,0.829,4.977,0.507,0.3,2.258,0.968,0.369,0.23,0.323,0.553,1.29,0.046,1
Darwin Machís,ve VEN,"MF,FW",CM,Valladolid,es La Liga,31.0,18,7,639,7.1,1,0.5,8,19,160,268,59.7,1,68,24,17,5,334,17,5,20,43,2.11,0.14,0,0.9,14,2,0.0,0.0,5,4,5,3,13,0,0.141,0.07,1.127,2.676,22.535,37.746,0.141,9.577,3.38,2.394,0.704,47.042,2.394,0.704,2.817,6.056,0.0,0.127,1.972,0.282,0.704,0.563,0.704,0.423,1.831,0.0,1
James Maddison,eng ENG,MF,CAM,Tottenham,eng Premier League,27.0,31,21,1809,20.1,7,4.2,41,164,1021,1256,81.3,12,98,59,123,32,1464,45,33,77,95,4.73,0.9,9,5.8,39,17,0.23,0.53,31,19,12,15,19,1,0.348,0.209,2.04,8.159,50.796,62.488,0.597,4.876,2.935,6.119,1.592,72.836,2.239,1.642,3.831,4.726,0.448,0.289,1.94,0.846,1.542,0.945,0.597,0.746,0.945,0.05,2
Soungoutou Magassa,fr FRA,MF,CDM,Monaco,fr Ligue 1,20.0,21,12,1025,11.4,1,0.9,7,63,540,638,84.6,4,7,0,67,10,781,6,15,23,11,1.67,0.09,0,0.5,8,3,0.0,0.0,47,25,21,16,19,1,0.088,0.079,0.614,5.526,47.368,55.965,0.351,0.614,0.0,5.877,0.877,68.509,0.526,1.316,2.018,0.965,0.0,0.044,0.702,0.263,4.123,2.193,1.842,1.404,1.667,0.088,0
Hugo Magnetti,fr FRA,MF,CDM,Brest,fr Ligue 1,26.0,32,27,2323,25.8,0,0.4,6,80,920,1083,84.9,0,18,0,70,6,1315,21,9,24,20,1.08,0.15,1,0.8,19,6,0.05,0.17,52,32,18,20,37,0,0.0,0.016,0.233,3.101,35.659,41.977,0.0,0.698,0.0,2.713,0.233,50.969,0.814,0.349,0.93,0.775,0.039,0.031,0.736,0.233,2.016,1.24,0.698,0.775,1.434,0.0,0
Frank Magri,cm CMR,"FW,MF",CM,Toulouse,fr Ligue 1,24.0,31,17,1516,16.8,1,1.5,9,25,178,251,70.9,3,4,0,15,7,420,17,4,18,80,1.72,0.18,5,6.0,44,18,0.11,0.28,8,2,4,16,11,0,0.06,0.089,0.536,1.488,10.595,14.94,0.179,0.238,0.0,0.893,0.417,25.0,1.012,0.238,1.071,4.762,0.298,0.357,2.619,1.071,0.476,0.119,0.238,0.952,0.655,0.0,1
Arne Maier,de GER,MF,CAM,Augsburg,de Bundesliga,25.0,28,7,938,10.4,0,1.5,25,44,450,588,76.5,2,67,46,40,10,699,19,7,16,56,4.23,0.38,0,1.5,18,6,0.0,0.0,13,7,6,15,14,1,0.0,0.144,2.404,4.231,43.269,56.538,0.192,6.442,4.423,3.846,0.962,67.212,1.827,0.673,1.538,5.385,0.0,0.144,1.731,0.577,1.25,0.673,0.577,1.442,1.346,0.096,2
Kobbie Mainoo,eng ENG,MF,CDM,Manchester Utd,eng Premier League,19.0,25,19,1651,18.3,0,1.6,14,65,723,836,86.5,2,7,0,50,12,1061,22,23,50,47,1.85,0.16,0,0.7,15,2,0.0,0.0,46,29,19,16,14,1,0.0,0.087,0.765,3.552,39.508,45.683,0.109,0.383,0.0,2.732,0.656,57.978,1.202,1.257,2.732,2.568,0.0,0.038,0.82,0.109,2.514,1.585,1.038,0.874,0.765,0.055,0
Antoine Makoumbou,cg CGO,MF,CDM,Cagliari,it Serie A,26.0,33,27,2150,23.9,3,0.9,8,92,1051,1183,88.8,3,7,0,70,14,1367,11,10,19,14,1.59,0.21,0,0.3,7,0,0.0,0.0,42,23,17,26,28,0,0.126,0.038,0.335,3.849,43.975,49.498,0.126,0.293,0.0,2.929,0.586,57.197,0.46,0.418,0.795,0.586,0.0,0.013,0.293,0.0,1.757,0.962,0.711,1.088,1.172,0.0,0
Daniel Maldini,it ITA,"MF,FW",CM,Monza,it Serie A,22.0,20,16,1306,14.5,0,0.9,12,34,261,382,68.3,1,38,11,14,8,584,41,30,72,66,2.75,0.34,3,4.8,39,13,0.08,0.23,14,6,4,8,12,2,0.0,0.062,0.828,2.345,18.0,26.345,0.069,2.621,0.759,0.966,0.552,40.276,2.828,2.069,4.966,4.552,0.207,0.331,2.69,0.897,0.966,0.414,0.276,0.552,0.828,0.138,1
Youssef Maleh,ma MAR,MF,CDM,Empoli,it Serie A,25.0,22,17,1510,16.8,1,0.9,12,72,398,560,71.1,1,16,0,62,11,744,10,4,13,37,1.79,0.12,0,0.9,17,3,0.0,0.0,45,23,16,25,25,0,0.06,0.054,0.714,4.286,23.69,33.333,0.06,0.952,0.0,3.69,0.655,44.286,0.595,0.238,0.774,2.202,0.0,0.054,1.012,0.179,2.679,1.369,0.952,1.488,1.488,0.0,0
Donyell Malen,nl NED,"FW,MF",CM,Dortmund,de Bundesliga,25.0,14,6,614,6.8,0,0.2,1,17,136,190,71.6,1,13,1,6,6,278,23,11,32,75,1.76,0.44,3,2.9,19,6,0.16,0.5,0,0,3,2,6,0,0.0,0.029,0.147,2.5,20.0,27.941,0.147,1.912,0.147,0.882,0.882,40.882,3.382,1.618,4.706,11.029,0.441,0.426,2.794,0.882,0.0,0.0,0.441,0.294,0.882,0.0,1
Lennard Maloney,us USA,MF,CDM,Heidenheim,de Bundesliga,24.0,11,10,760,8.4,0,0.0,1,14,194,271,71.6,0,1,0,12,1,378,1,1,4,0,0.83,0.0,0,0.3,3,0,0.0,0.0,20,11,14,9,38,0,0.0,0.0,0.119,1.667,23.095,32.262,0.0,0.119,0.0,1.429,0.119,45.0,0.119,0.119,0.476,0.0,0.0,0.036,0.357,0.0,2.381,1.31,1.667,1.071,4.524,0.0,0
Dennis Man,ro ROU,"FW,MF",CM,Parma,it Serie A,25.0,33,23,1995,22.2,4,4.2,45,60,631,793,79.6,4,33,30,46,25,1027,67,25,75,142,3.61,0.32,4,5.5,49,20,0.08,0.2,13,6,8,15,11,0,0.18,0.189,2.027,2.703,28.423,35.721,0.18,1.486,1.351,2.072,1.126,46.261,3.018,1.126,3.378,6.396,0.18,0.248,2.207,0.901,0.586,0.27,0.36,0.676,0.495,0.0,1
Rolando Mandragora,it ITA,MF,CM,Fiorentina,it Serie A,27.0,28,22,1856,20.6,2,4.8,31,92,724,931,77.8,4,39,31,69,16,1119,11,7,14,34,2.61,0.23,4,2.7,37,14,0.08,0.21,23,13,15,22,54,1,0.097,0.233,1.505,4.466,35.146,45.194,0.194,1.893,1.505,3.35,0.777,54.32,0.534,0.34,0.68,1.65,0.194,0.131,1.796,0.68,1.117,0.631,0.728,1.068,2.621,0.049,1
Orel Mangala,be BEL,MF,CDM,Everton,eng Premier League,26.0,19,14,1261,14.0,0,0.6,8,34,437,490,89.2,0,6,0,50,8,621,6,14,24,19,1.72,0.07,1,1.1,16,6,0.06,0.17,16,8,21,8,24,1,0.0,0.043,0.571,2.429,31.214,35.0,0.0,0.429,0.0,3.571,0.571,44.357,0.429,1.0,1.714,1.357,0.071,0.079,1.143,0.429,1.143,0.571,1.5,0.571,1.714,0.071,0
